task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task088,outputs\onnx\task088.onnx,outputs\candidates\identity_removed\task088_ZeroAddRemoved.onnx,10824,10824,0,14980,14980,0,0,0,no zero-add patterns found
task089,outputs\onnx\task089.onnx,outputs\candidates\identity_removed\task089_ZeroAddRemoved.onnx,879,879,0,17792,17792,0,0,0,no zero-add patterns found
task090,outputs\onnx\task090.onnx,outputs\candidates\identity_removed\task090_ZeroAddRemoved.onnx,438,438,0,19660,19660,0,0,0,no zero-add patterns found
task091,outputs\onnx\task091.onnx,outputs\candidates\identity_removed\task091_ZeroAddRemoved.onnx,963,963,0,4627,4627,0,0,0,no zero-add patterns found
task092,outputs\onnx\task092.onnx,outputs\candidates\identity_removed\task092_ZeroAddRemoved.onnx,90,90,0,4299,4299,0,0,0,no zero-add patterns found
task093,outputs\onnx\task093.onnx,outputs\candidates\identity_removed\task093_ZeroAddRemoved.onnx,667,667,0,5415,5415,0,0,0,no zero-add patterns found
task094,outputs\onnx\task094.onnx,outputs\candidates\identity_removed\task094_ZeroAddRemoved.onnx,802,802,0,3767,3767,0,0,0,no zero-add patterns found
task095,outputs\onnx\task095.onnx,outputs\candidates\identity_removed\task095_ZeroAddRemoved.onnx,4550,4550,0,3950,3950,0,0,0,no zero-add patterns found
task096,outputs\onnx\task096.onnx,outputs\candidates\identity_removed\task096_ZeroAddRemoved.onnx,8858,8858,0,64252,64252,0,0,0,no zero-add patterns found
task097,outputs\onnx\task097.onnx,outputs\candidates\identity_removed\task097_ZeroAddRemoved.onnx,1938,1938,0,2494,2494,0,0,0,no zero-add patterns found
task098,outputs\onnx\task098.onnx,outputs\candidates\identity_removed\task098_ZeroAddRemoved.onnx,4550,4550,0,3836,3836,0,0,0,no zero-add patterns found
task099,outputs\onnx\task099.onnx,outputs\candidates\identity_removed\task099_ZeroAddRemoved.onnx,24550,24550,0,19839,19839,0,0,0,no zero-add patterns found
task100,outputs\onnx\task100.onnx,outputs\candidates\identity_removed\task100_ZeroAddRemoved.onnx,335,335,0,4954,4954,0,0,0,no zero-add patterns found
task101,outputs\onnx\task101.onnx,outputs\candidates\identity_removed\task101_ZeroAddRemoved.onnx,14360,14360,0,39301,39301,0,0,0,no zero-add patterns found
