task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,compressed_initializers,compressed_initializer_elements
task018,outputs\onnx\task018.onnx,outputs\candidates\dtype_ablation_20260609\task018_InitializerDtypeCompression.onnx,3315,3315,0,32157,32157,0,31,31,0,0
task019,outputs\onnx\task019.onnx,outputs\candidates\dtype_ablation_20260609\task019_InitializerDtypeCompression.onnx,16326,3726,-12600,17887,5433,-12454,12,12,2,1800
task020,outputs\onnx\task020.onnx,outputs\candidates\dtype_ablation_20260609\task020_InitializerDtypeCompression.onnx,2406,1006,-1400,31378,30130,-1248,25,25,2,200
task021,outputs\onnx\task021.onnx,outputs\candidates\dtype_ablation_20260609\task021_InitializerDtypeCompression.onnx,16652,4052,-12600,38201,25757,-12444,20,20,2,1800
task022,outputs\onnx\task022.onnx,outputs\candidates\dtype_ablation_20260609\task022_InitializerDtypeCompression.onnx,531,531,0,43895,43895,0,24,24,0,0
task023,outputs\onnx\task023.onnx,outputs\candidates\dtype_ablation_20260609\task023_InitializerDtypeCompression.onnx,116,116,0,20138,20138,0,13,13,0,0
task024,outputs\onnx\task024.onnx,outputs\candidates\dtype_ablation_20260609\task024_InitializerDtypeCompression.onnx,765,765,0,3233,3233,0,11,11,0,0
task025,outputs\onnx\task025.onnx,outputs\candidates\dtype_ablation_20260609\task025_InitializerDtypeCompression.onnx,839,839,0,92727,92727,0,15,15,0,0
task026,outputs\onnx\task026.onnx,outputs\candidates\dtype_ablation_20260609\task026_InitializerDtypeCompression.onnx,312,312,0,1622,1622,0,8,8,0,0
task027,outputs\onnx\task027.onnx,outputs\candidates\dtype_ablation_20260609\task027_InitializerDtypeCompression.onnx,36154,14554,-21600,31135,9691,-21444,13,13,2,7200
task028,outputs\onnx\task028.onnx,outputs\candidates\dtype_ablation_20260609\task028_InitializerDtypeCompression.onnx,63050,25250,-37800,51218,13787,-37431,6,6,5,12600
task029,outputs\onnx\task029.onnx,outputs\candidates\dtype_ablation_20260609\task029_InitializerDtypeCompression.onnx,978,888,-90,13589,13600,11,15,15,1,90
task030,outputs\onnx\task030.onnx,outputs\candidates\dtype_ablation_20260609\task030_InitializerDtypeCompression.onnx,5171,2471,-2700,9441,6831,-2610,13,13,1,900
task031,outputs\onnx\task031.onnx,outputs\candidates\dtype_ablation_20260609\task031_InitializerDtypeCompression.onnx,470,470,0,3417,3417,0,13,13,0,0
task032,outputs\onnx\task032.onnx,outputs\candidates\dtype_ablation_20260609\task032_InitializerDtypeCompression.onnx,409,409,0,2347,2347,0,10,10,0,0
task033,outputs\onnx\task033.onnx,outputs\candidates\dtype_ablation_20260609\task033_InitializerDtypeCompression.onnx,369,369,0,1510,1510,0,6,6,0,0
task034,outputs\onnx\task034.onnx,outputs\candidates\dtype_ablation_20260609\task034_InitializerDtypeCompression.onnx,7701,7701,0,11293,11293,0,16,16,0,0
task035,outputs\onnx\task035.onnx,outputs\candidates\dtype_ablation_20260609\task035_InitializerDtypeCompression.onnx,1389,1089,-300,12869,12627,-242,32,32,1,100
task036,outputs\onnx\task036.onnx,outputs\candidates\dtype_ablation_20260609\task036_InitializerDtypeCompression.onnx,1299,1299,0,5866,5866,0,17,17,0,0
task037,outputs\onnx\task037.onnx,outputs\candidates\dtype_ablation_20260609\task037_InitializerDtypeCompression.onnx,25086,16788,-8298,20424,12789,-7635,13,13,4,8298
task038,outputs\onnx\task038.onnx,outputs\candidates\dtype_ablation_20260609\task038_InitializerDtypeCompression.onnx,493,493,0,2357,2357,0,13,13,0,0
task039,outputs\onnx\task039.onnx,outputs\candidates\dtype_ablation_20260609\task039_InitializerDtypeCompression.onnx,248,248,0,1913,1913,0,9,9,0,0
task040,outputs\onnx\task040.onnx,outputs\candidates\dtype_ablation_20260609\task040_InitializerDtypeCompression.onnx,370,370,0,4104,4104,0,20,20,0,0
task041,outputs\onnx\task041.onnx,outputs\candidates\dtype_ablation_20260609\task041_InitializerDtypeCompression.onnx,243,243,0,2228,2228,0,6,6,0,0
task042,outputs\onnx\task042.onnx,outputs\candidates\dtype_ablation_20260609\task042_InitializerDtypeCompression.onnx,888,588,-300,8398,8165,-233,18,18,1,100
task043,outputs\onnx\task043.onnx,outputs\candidates\dtype_ablation_20260609\task043_InitializerDtypeCompression.onnx,777,477,-300,1966,1770,-196,14,14,1,100
task044,outputs\onnx\task044.onnx,outputs\candidates\dtype_ablation_20260609\task044_InitializerDtypeCompression.onnx,6291,3599,-2692,148684,146220,-2464,59,59,2,1156
task045,outputs\onnx\task045.onnx,outputs\candidates\dtype_ablation_20260609\task045_InitializerDtypeCompression.onnx,244,244,0,1438,1438,0,12,12,0,0
task046,outputs\onnx\task046.onnx,outputs\candidates\dtype_ablation_20260609\task046_InitializerDtypeCompression.onnx,4446,2046,-2400,8963,6689,-2274,26,26,2,800
task047,outputs\onnx\task047.onnx,outputs\candidates\dtype_ablation_20260609\task047_InitializerDtypeCompression.onnx,747,504,-243,3246,3079,-167,11,11,1,81
task048,outputs\onnx\task048.onnx,outputs\candidates\dtype_ablation_20260609\task048_InitializerDtypeCompression.onnx,462,462,0,5695,5695,0,15,15,0,0
task049,outputs\onnx\task049.onnx,outputs\candidates\dtype_ablation_20260609\task049_InitializerDtypeCompression.onnx,942,642,-300,3516,3292,-224,12,12,1,100
task050,outputs\onnx\task050.onnx,outputs\candidates\dtype_ablation_20260609\task050_InitializerDtypeCompression.onnx,675,675,0,2540,2540,0,9,9,0,0
task051,outputs\onnx\task051.onnx,outputs\candidates\dtype_ablation_20260609\task051_InitializerDtypeCompression.onnx,658,658,0,3330,3330,0,12,12,0,0
task052,outputs\onnx\task052.onnx,outputs\candidates\dtype_ablation_20260609\task052_InitializerDtypeCompression.onnx,283,283,0,1277,1277,0,12,12,0,0
task053,outputs\onnx\task053.onnx,outputs\candidates\dtype_ablation_20260609\task053_InitializerDtypeCompression.onnx,270,270,0,175,175,0,1,1,0,0
task054,outputs\onnx\task054.onnx,outputs\candidates\dtype_ablation_20260609\task054_InitializerDtypeCompression.onnx,1061,1061,0,9728,9728,0,16,16,0,0
task055,outputs\onnx\task055.onnx,outputs\candidates\dtype_ablation_20260609\task055_InitializerDtypeCompression.onnx,5090,2390,-2700,21458,18836,-2622,37,37,1,900
task056,outputs\onnx\task056.onnx,outputs\candidates\dtype_ablation_20260609\task056_InitializerDtypeCompression.onnx,592,592,0,1515,1515,0,10,10,0,0
task057,outputs\onnx\task057.onnx,outputs\candidates\dtype_ablation_20260609\task057_InitializerDtypeCompression.onnx,99,99,0,1880,1880,0,4,4,0,0
task058,outputs\onnx\task058.onnx,outputs\candidates\dtype_ablation_20260609\task058_InitializerDtypeCompression.onnx,32257,13057,-19200,27439,8311,-19128,11,11,1,6400
task059,outputs\onnx\task059.onnx,outputs\candidates\dtype_ablation_20260609\task059_InitializerDtypeCompression.onnx,12909,5649,-7260,12715,5638,-7077,19,19,2,2420
task060,outputs\onnx\task060.onnx,outputs\candidates\dtype_ablation_20260609\task060_InitializerDtypeCompression.onnx,1057,727,-330,3039,2816,-223,18,18,1,110
task061,outputs\onnx\task061.onnx,outputs\candidates\dtype_ablation_20260609\task061_InitializerDtypeCompression.onnx,17726,4118,-13608,17030,3505,-13525,12,12,1,1944
task062,outputs\onnx\task062.onnx,outputs\candidates\dtype_ablation_20260609\task062_InitializerDtypeCompression.onnx,4713,2013,-2700,22124,19973,-2151,26,26,9,900
task063,outputs\onnx\task063.onnx,outputs\candidates\dtype_ablation_20260609\task063_InitializerDtypeCompression.onnx,276,276,0,3709,3709,0,13,13,0,0
task064,outputs\onnx\task064.onnx,outputs\candidates\dtype_ablation_20260609\task064_InitializerDtypeCompression.onnx,978,798,-180,5809,5772,-37,12,12,2,180
task065,outputs\onnx\task065.onnx,outputs\candidates\dtype_ablation_20260609\task065_InitializerDtypeCompression.onnx,561,561,0,2705,2705,0,12,12,0,0
task066,outputs\onnx\task066.onnx,outputs\candidates\dtype_ablation_20260609\task066_InitializerDtypeCompression.onnx,430,430,0,180173,180173,0,29,29,0,0
task067,outputs\onnx\task067.onnx,outputs\candidates\dtype_ablation_20260609\task067_InitializerDtypeCompression.onnx,165,165,0,892,892,0,4,4,0,0
task068,outputs\onnx\task068.onnx,outputs\candidates\dtype_ablation_20260609\task068_InitializerDtypeCompression.onnx,199,199,0,2335,2335,0,11,11,0,0
task069,outputs\onnx\task069.onnx,outputs\candidates\dtype_ablation_20260609\task069_InitializerDtypeCompression.onnx,7362,5162,-2200,32330,31472,-858,43,43,22,2200
task070,outputs\onnx\task070.onnx,outputs\candidates\dtype_ablation_20260609\task070_InitializerDtypeCompression.onnx,258,258,0,11844,11844,0,16,16,0,0
task071,outputs\onnx\task071.onnx,outputs\candidates\dtype_ablation_20260609\task071_InitializerDtypeCompression.onnx,8238,1938,-6300,12082,5845,-6237,12,12,1,900
task072,outputs\onnx\task072.onnx,outputs\candidates\dtype_ablation_20260609\task072_InitializerDtypeCompression.onnx,462,462,0,1625,1625,0,8,8,0,0
task073,outputs\onnx\task073.onnx,outputs\candidates\dtype_ablation_20260609\task073_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
