task_id,lane,model_path,valid,failure_reason,params,tensor_memory_bytes,official_static_cost,official_static_score,initializer_params,constant_params,node_count,op_count,file_size_bytes
task075,base_submission,outputs\current_6349_78_stack\base_submission\task075.onnx,True,,57,52612,52669,14.128217673842922,57,0,46,46,7736
task075,overrides,outputs\current_6349_78_stack\overrides\task075.onnx,True,,69,18522,18591,15.169567128369783,69,0,18,18,1534
task076,base_submission,outputs\current_6349_78_stack\base_submission\task076.onnx,True,,229498,2095201,2324699,10.340898873742972,229498,0,220,220,948872
task076,overrides,outputs\current_6349_78_stack\overrides\task076.onnx,True,,2114,77850,79964,13.710668187624366,2114,0,1326,1326,54163
task077,base_submission,outputs\current_6349_78_stack\base_submission\task077.onnx,True,,2213,190140,192353,12.83291249537243,2213,0,72,72,9860
task077,overrides,outputs\current_6349_78_stack\overrides\task077.onnx,True,,1067,96240,97307,13.514373791967595,1067,0,618,618,25987
task078,base_submission,outputs\current_6349_78_stack\base_submission\task078.onnx,True,,36,15720,15756,15.335023475909203,36,0,22,22,2588
task078,overrides,outputs\current_6349_78_stack\overrides\task078.onnx,True,,36,11460,11496,15.65024557224114,36,0,25,25,1974
task079,base_submission,outputs\current_6349_78_stack\base_submission\task079.onnx,True,,245,24708,24953,14.87525066556768,245,0,20,20,2695
task079,overrides,outputs\current_6349_78_stack\overrides\task079.onnx,True,,245,21138,21383,15.029648507210364,245,0,20,20,2695
task080,base_submission,outputs\current_6349_78_stack\base_submission\task080.onnx,True,,1493,153652,155145,13.047884557519986,1493,0,93,93,18484
task080,overrides,outputs\current_6349_78_stack\overrides\task080.onnx,True,,217,41638,41855,14.358033456905844,217,0,122,122,10133
task081,base_submission,outputs\current_6349_78_stack\base_submission\task081.onnx,True,,109,2198,2307,17.256296741826247,109,0,35,35,3749
task081,overrides,outputs\current_6349_78_stack\overrides\task081.onnx,True,,109,2198,2307,17.256296741826247,109,0,35,35,3749
task082,base_submission,outputs\current_6349_78_stack\base_submission\task082.onnx,True,,79,42240,42319,14.347008563236603,79,0,18,18,2282
task082,overrides,outputs\current_6349_78_stack\overrides\task082.onnx,True,,56,9660,9716,15.818470709877937,56,0,10,10,1638
task083,base_submission,outputs\current_6349_78_stack\base_submission\task083.onnx,True,,1800,0,1800,17.504458056115745,1800,0,1,1,7454
task083,overrides,outputs\current_6349_78_stack\overrides\task083.onnx,True,,1800,0,1800,17.504458056115745,1800,0,1,1,7454
task084,base_submission,outputs\current_6349_78_stack\base_submission\task084.onnx,True,,277267,4069568,4346835,9.715041447961335,277267,0,257,257,1123454
task084,overrides,outputs\current_6349_78_stack\overrides\task084.onnx,True,,113,19400,19513,15.121163810905001,113,0,23,23,2820
task085,base_submission,outputs\current_6349_78_stack\base_submission\task085.onnx,True,,138,113040,113178,13.36328292042622,138,0,20,20,2547
task085,overrides,outputs\current_6349_78_stack\overrides\task085.onnx,True,,2100,45517,47617,14.229054880683675,2100,0,194,194,17531
task086,base_submission,outputs\current_6349_78_stack\base_submission\task086.onnx,True,,225,36288,36513,14.494576359457334,225,0,41,41,4727
task086,overrides,outputs\current_6349_78_stack\overrides\task086.onnx,True,,225,24480,24705,14.88523906872015,225,0,42,42,3120
task087,base_submission,outputs\current_6349_78_stack\base_submission\task087.onnx,True,,16,360,376,19.070410856610106,16,0,2,2,474
task087,overrides,outputs\current_6349_78_stack\overrides\task087.onnx,True,,8,360,368,19.09191706183107,8,0,2,2,394
task088,base_submission,outputs\current_6349_78_stack\base_submission\task088.onnx,True,,1252,100626,101878,13.468468702037654,1252,0,58,58,14980
task088,overrides,outputs\current_6349_78_stack\overrides\task088.onnx,True,,120,69698,69818,13.846352864838618,120,0,51,51,4006
task089,base_submission,outputs\current_6349_78_stack\base_submission\task089.onnx,True,,99,49943,50042,14.179382068192274,99,0,181,181,17792
task089,overrides,outputs\current_6349_78_stack\overrides\task089.onnx,True,,98,46056,46154,14.260261089935476,98,0,166,166,10554
task090,base_submission,outputs\current_6349_78_stack\base_submission\task090.onnx,True,,104,63250,63354,13.94350667496543,104,0,246,246,19660
task090,overrides,outputs\current_6349_78_stack\overrides\task090.onnx,True,,578,60840,61418,13.974541769218527,578,0,48,48,3784
task091,base_submission,outputs\current_6349_78_stack\base_submission\task091.onnx,True,,107,51388,51495,14.150760005440098,107,0,43,43,4627
task091,overrides,outputs\current_6349_78_stack\overrides\task091.onnx,True,,78,51328,51406,14.152489823851827,78,0,45,45,3325
task092,base_submission,outputs\current_6349_78_stack\base_submission\task092.onnx,True,,26,151500,151526,13.071487493631263,26,0,42,42,4299
task092,overrides,outputs\current_6349_78_stack\overrides\task092.onnx,True,,61,46080,46141,14.260542795338498,61,0,49,49,2577
task093,base_submission,outputs\current_6349_78_stack\base_submission\task093.onnx,True,,111,47264,47375,14.234150057615272,111,0,49,49,5415
task093,overrides,outputs\current_6349_78_stack\overrides\task093.onnx,True,,58,15400,15458,15.354118052333183,58,0,56,56,6234
task094,base_submission,outputs\current_6349_78_stack\base_submission\task094.onnx,True,,90,48060,48150,14.217923582773729,90,0,35,35,3767
task094,overrides,outputs\current_6349_78_stack\overrides\task094.onnx,True,,112,10115,10227,15.767213439193988,112,0,24,24,3478
task095,base_submission,outputs\current_6349_78_stack\base_submission\task095.onnx,True,,910,0,910,18.186555400489105,910,0,1,1,3950
task095,overrides,outputs\current_6349_78_stack\overrides\task095.onnx,True,,900,0,900,18.197605236675688,900,0,1,1,3797
task096,base_submission,outputs\current_6349_78_stack\base_submission\task096.onnx,True,,2126,477949,480075,11.918302379321686,2126,0,480,480,64252
task096,overrides,outputs\current_6349_78_stack\overrides\task096.onnx,True,,107,157839,157946,13.029991518560207,0,107,242,242,12075
task097,base_submission,outputs\current_6349_78_stack\base_submission\task097.onnx,True,,922,68400,69322,13.85348240488441,922,0,11,11,2494
task097,overrides,outputs\current_6349_78_stack\overrides\task097.onnx,True,,106,53600,53706,14.108719993901007,106,0,11,11,1475
task098,base_submission,outputs\current_6349_78_stack\base_submission\task098.onnx,True,,910,0,910,18.186555400489105,910,0,1,1,3836
task098,overrides,outputs\current_6349_78_stack\overrides\task098.onnx,True,,910,0,910,18.186555400489105,910,0,1,1,3836
task099,base_submission,outputs\current_6349_78_stack\base_submission\task099.onnx,True,,4910,0,4910,16.500970779211436,4910,0,1,1,19839
task099,overrides,outputs\current_6349_78_stack\overrides\task099.onnx,True,,3510,0,3510,16.836628683540088,3510,0,1,1,14222
task100,base_submission,outputs\current_6349_78_stack\base_submission\task100.onnx,True,,43,7033,7076,16.135535944720324,43,0,28,28,4954
task100,overrides,outputs\current_6349_78_stack\overrides\task100.onnx,True,,43,6493,6536,16.21491936346016,43,0,28,28,4954
task101,base_submission,outputs\current_6349_78_stack\base_submission\task101.onnx,True,,4664,1257224,1261888,10.95188042987406,4664,0,206,206,39301
task101,overrides,outputs\current_6349_78_stack\overrides\task101.onnx,True,,3009,170296,173305,12.937191673010254,3009,0,120,120,33885
task102,base_submission,outputs\current_6349_78_stack\base_submission\task102.onnx,True,,339,44352,44691,14.292472581952298,339,0,149,149,22167
task102,overrides,outputs\current_6349_78_stack\overrides\task102.onnx,True,,524,10715,11239,15.672854848481732,524,0,48,48,4821
task103,base_submission,outputs\current_6349_78_stack\base_submission\task103.onnx,True,,57,221,278,19.372378886309363,57,0,11,11,1669
task103,overrides,outputs\current_6349_78_stack\overrides\task103.onnx,True,,34,155,189,19.758252984940356,34,0,11,11,927
task104,base_submission,outputs\current_6349_78_stack\base_submission\task104.onnx,True,,1070,5312,6382,16.23876319316181,1070,0,20,20,6350
task104,overrides,outputs\current_6349_78_stack\overrides\task104.onnx,True,,990,2692,3682,16.788788638206977,990,0,21,21,3505
task105,base_submission,outputs\current_6349_78_stack\base_submission\task105.onnx,True,,7268,43964,51232,14.15588038420356,7268,0,50,50,35291
task105,overrides,outputs\current_6349_78_stack\overrides\task105.onnx,True,,68,6987,7055,16.138508135713085,68,0,63,63,8053
task106,base_submission,outputs\current_6349_78_stack\base_submission\task106.onnx,True,,125,1039,1164,17.940382371708615,125,0,13,13,2939
task106,overrides,outputs\current_6349_78_stack\overrides\task106.onnx,True,,125,1039,1164,17.940382371708615,125,0,13,13,2939
