task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,archive_valid,archive_estimated_cost,archive_file_size_bytes,archive_failure_reason,current_valid,current_estimated_cost,current_file_size_bytes,current_failure_reason
task050,archive,outputs\archive_all_repaired_verified_onnx\task050.onnx,675,2540,True,675,2540,,False,,,missing_model
task051,archive,outputs\archive_all_repaired_verified_onnx\task051.onnx,667,3365,True,667,3365,,False,,,missing_model
task052,archive,outputs\archive_all_repaired_verified_onnx\task052.onnx,283,1277,True,283,1277,,False,,,missing_model
task053,archive,outputs\archive_all_repaired_verified_onnx\task053.onnx,270,175,True,270,175,,True,3950,2722,
task054,archive,outputs\archive_all_repaired_verified_onnx\task054.onnx,1061,9728,True,1061,9728,,False,,,missing_model
task055,archive,outputs\archive_all_repaired_verified_onnx\task055.onnx,5090,21458,True,5090,21458,,False,,,missing_model
task056,archive,outputs\archive_all_repaired_verified_onnx\task056.onnx,592,1515,True,592,1515,,False,,,missing_model
task057,archive,outputs\archive_all_repaired_verified_onnx\task057.onnx,99,1880,True,99,1880,,False,,,missing_model
task058,archive,outputs\archive_all_repaired_verified_onnx\task058.onnx,32257,27439,True,32257,27439,,False,,,missing_model
task059,archive,outputs\archive_all_repaired_verified_onnx\task059.onnx,12909,12715,True,12909,12715,,False,,,missing_model
task060,archive,outputs\archive_all_repaired_verified_onnx\task060.onnx,1057,3039,True,1057,3039,,False,,,missing_model
task061,archive,outputs\archive_all_repaired_verified_onnx\task061.onnx,17726,17030,True,17726,17030,,False,,,missing_model
task062,archive,outputs\archive_all_repaired_verified_onnx\task062.onnx,4713,22124,True,4713,22124,,False,,,missing_model
task063,archive,outputs\archive_all_repaired_verified_onnx\task063.onnx,276,3709,True,276,3709,,False,,,missing_model
task064,archive,outputs\archive_all_repaired_verified_onnx\task064.onnx,978,5809,True,978,5809,,False,,,missing_model
task065,archive,outputs\archive_all_repaired_verified_onnx\task065.onnx,561,2705,True,561,2705,,True,93935,144684,
task066,archive,outputs\archive_all_repaired_verified_onnx\task066.onnx,430,180173,True,430,180173,,False,,,missing_model
task067,archive,outputs\archive_all_repaired_verified_onnx\task067.onnx,165,892,True,165,892,,False,,,missing_model
task068,archive,outputs\archive_all_repaired_verified_onnx\task068.onnx,199,2335,True,199,2335,,False,,,missing_model
task069,archive,outputs\archive_all_repaired_verified_onnx\task069.onnx,7362,32330,True,7362,32330,,False,,,missing_model
task070,archive,outputs\archive_all_repaired_verified_onnx\task070.onnx,258,11844,True,258,11844,,False,,,missing_model
task071,archive,outputs\archive_all_repaired_verified_onnx\task071.onnx,8238,12082,True,8238,12082,,False,,,missing_model
task072,archive,outputs\archive_all_repaired_verified_onnx\task072.onnx,462,1625,True,462,1625,,True,2555,2747,
task073,current,outputs\archive_all_repaired_verified_onnx\task073.onnx,8318,6966,True,8318,6966,,True,8318,6966,
task074,archive,outputs\archive_all_repaired_verified_onnx\task074.onnx,321,1824,True,321,1824,,False,,,missing_model
task075,archive,outputs\archive_all_repaired_verified_onnx\task075.onnx,509,7736,True,509,7736,,False,,,missing_model
task076,archive,outputs\archive_all_repaired_verified_onnx\task076.onnx,1147810,948872,True,1147810,948872,,False,,,missing_model
task077,archive,outputs\archive_all_repaired_verified_onnx\task077.onnx,6972,9860,True,6972,9860,,False,,,missing_model
task078,archive,outputs\archive_all_repaired_verified_onnx\task078.onnx,276,2588,True,276,2588,,False,,,missing_model
task079,archive,outputs\archive_all_repaired_verified_onnx\task079.onnx,1301,2695,True,1301,2695,,False,,,missing_model
task080,archive,outputs\archive_all_repaired_verified_onnx\task080.onnx,9335,18484,True,9335,18484,,False,,,missing_model
task081,current,outputs\archive_all_repaired_verified_onnx\task081.onnx,565,1476,True,565,1476,,True,565,1476,
task082,archive,outputs\archive_all_repaired_verified_onnx\task082.onnx,443,2282,True,443,2282,,False,,,missing_model
task083,archive,outputs\archive_all_repaired_verified_onnx\task083.onnx,9000,7454,True,9000,7454,,False,,,missing_model
task084,archive,outputs\archive_all_repaired_verified_onnx\task084.onnx,1390970,1127799,True,1390970,1127799,,False,,,missing_model
task085,archive,outputs\archive_all_repaired_verified_onnx\task085.onnx,558,2547,True,558,2547,,False,,,missing_model
task086,archive,outputs\archive_all_repaired_verified_onnx\task086.onnx,1153,4727,True,1153,4727,,False,,,missing_model
task087,archive,outputs\archive_all_repaired_verified_onnx\task087.onnx,144,474,True,144,474,,True,4563,4053,
task088,archive,outputs\archive_all_repaired_verified_onnx\task088.onnx,10824,14980,True,10824,14980,,False,,,missing_model
task089,archive,outputs\archive_all_repaired_verified_onnx\task089.onnx,879,17792,True,879,17792,,False,,,missing_model
task090,archive,outputs\archive_all_repaired_verified_onnx\task090.onnx,438,19660,True,438,19660,,False,,,missing_model
task091,archive,outputs\archive_all_repaired_verified_onnx\task091.onnx,963,4627,True,963,4627,,False,,,missing_model
task092,archive,outputs\archive_all_repaired_verified_onnx\task092.onnx,90,4299,True,90,4299,,False,,,missing_model
task093,archive,outputs\archive_all_repaired_verified_onnx\task093.onnx,667,5415,True,667,5415,,False,,,missing_model
task094,archive,outputs\archive_all_repaired_verified_onnx\task094.onnx,910,4915,True,910,4915,,False,,,missing_model
task095,current,outputs\archive_all_repaired_verified_onnx\task095.onnx,565,1476,True,565,1476,,True,565,1476,
task096,archive,outputs\archive_all_repaired_verified_onnx\task096.onnx,8858,64252,True,8858,64252,,False,,,missing_model
task097,archive,outputs\archive_all_repaired_verified_onnx\task097.onnx,1938,2494,True,1938,2494,,False,,,missing_model
task098,archive,outputs\archive_all_repaired_verified_onnx\task098.onnx,4605,4217,True,4605,4217,,False,,,missing_model
task099,archive,outputs\archive_all_repaired_verified_onnx\task099.onnx,24605,20220,True,24605,20220,,False,,,missing_model
task100,archive,outputs\archive_all_repaired_verified_onnx\task100.onnx,335,4954,True,335,4954,,False,,,missing_model
task101,archive,outputs\archive_all_repaired_verified_onnx\task101.onnx,14360,39301,True,14360,39301,,False,,,missing_model
task102,archive,outputs\archive_all_repaired_verified_onnx\task102.onnx,1137,22167,True,1137,22167,,False,,,missing_model
task103,archive,outputs\archive_all_repaired_verified_onnx\task103.onnx,425,1669,True,425,1669,,False,,,missing_model
task104,archive,outputs\archive_all_repaired_verified_onnx\task104.onnx,5414,6350,True,5414,6350,,False,,,missing_model
task105,archive,outputs\archive_all_repaired_verified_onnx\task105.onnx,36364,35291,True,36364,35291,,False,,,missing_model
task106,archive,outputs\archive_all_repaired_verified_onnx\task106.onnx,746,2939,True,746,2939,,False,,,missing_model
task107,archive,outputs\archive_all_repaired_verified_onnx\task107.onnx,42039,31191,True,42039,31191,,False,,,missing_model
task108,archive,outputs\archive_all_repaired_verified_onnx\task108.onnx,9000,7454,True,9000,7454,,False,,,missing_model
task109,archive,outputs\archive_all_repaired_verified_onnx\task109.onnx,2541,5491,True,2541,5491,,False,,,missing_model
task110,archive,outputs\archive_all_repaired_verified_onnx\task110.onnx,4623,21494,True,4623,21494,,False,,,missing_model
task111,archive,outputs\archive_all_repaired_verified_onnx\task111.onnx,248,1457,True,248,1457,,False,,,missing_model
