task_id,candidate_zip_path,upload_submission_path,replacement_model_path,replacement_estimated_cost,best_6348_estimated_cost,cost_delta_6275_minus_best_6348,base_lane_replaced,overrides_lane_replaced,replacement_sha256,base_lane_old_sha256,overrides_lane_old_sha256,candidate_valid,failure_reason
task203,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task203_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task203_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task203.onnx,484,3544,-3060,True,True,c9415b45362e71abd0f9621c7d36efe0934aca29fcc3dc6dc12032110cf502e3,934167d7108d311321e5ae31de256c5ed18dd19290cc3cea7456337d8f1a1d04,1d3d4435105625f94a77a73c38a13f9cf6c80b0b59f5669fdb76964111c370cf,True,
task208,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task208_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task208_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task208.onnx,1806,1806,0,True,True,d0d8ece63c8bc8fcbf0d3aaffe8e19beeb3631e34ae885a0bc47d879dd094d1d,5d341124008dfd310bc5a123793ff6f9beaeead1fd98692f86f798a8f1e3f4a1,5a94eef2db33af8b8228449bf8a6aafc377a718d4348b66852b0f482b7ba2cb0,True,
task216,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task216_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task216_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task216.onnx,888,888,0,True,True,47538c17f1e6ed157ba6d4effe2cbfc8d098af219d3896cbb6d92e0989333de8,8fd3706d25161ac61f40c1adb00c1cdd8f4803d8b4229bc361b0bc2d6efe0000,fb046fa2b22b3402f1eeb8dd5e411ea14272544a5e42d214d6d37168f0718bec,True,
task219,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task219_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task219_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task219.onnx,745,1628,-883,True,True,5e8a8092eeb5b9a68eaa90b9aaea48eee4dfcab6c84225502a6a6871b7177e19,f042340d7b269af4b35437a41d3094074b91fd8778477f3b3fcd20966a535f12,0dd1602c99c9b762184d2010f525ea3fda037f05c54b79019cf5562dc33da508,True,
task233,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task233_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task233_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task233.onnx,6131,6293,-162,True,True,afbcd66d69dfa94037612822b360f74ba63a7fd43d6bd1cec5a17d033403218c,4c05808a5e552eff2938636281021bf6bde76fd3873c539c95efd098da5d767a,a5ee427214ac68b60798c8f39be5cd4d2e69c177aad74b5c3942a3fb7bd3b76b,True,
task236,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task236_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task236_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task236.onnx,0,3,-3,True,True,2e59dc4336de1e1fb4014ca0b81f2777c0a9fd808fbee3c5d54770d6ade5bbfe,7f166f01eb2cf5e98be10a109467f99606fa9e5b533bf2bf8f34a298dad06666,d0036304951bbcf12c15840c735ab53ab6d81ba6d58efdcaf156ea5e582fdca3,True,
task239,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task239_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task239_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task239.onnx,1284,1284,0,True,True,1bb32963e7cb07aed708c1c9c2e30991506b48570898ddade7fec2515559fc95,2abd421624d88b12e8a63904b214d06678543cf0231b040cc10fec704aac503f,452f8fcd557a1b2ce46445f44ec3cfdcee30815c768cb68a6daaf70d43f675d2,True,
task250,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task250_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task250_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task250.onnx,371,371,0,True,True,7ab516acebfe69fb1fe5650af6ebf52c510a8c63dadb9e80a92130ccb410f9a0,db7b6112f672f2a70588e91f451c893bc7b1ecec188c8c984be8cff297851bfb,8855890bb43f646f243dd994339add8460c46694a1b4e05f49ac8c11ea98025c,True,
task260,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task260_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task260_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task260.onnx,525,525,0,True,True,35736c57d98142f122c43cb025104944bce52b1265e108c470480131c8178f7d,21c776e8235ed69d82386e0937fe02a8389a6b09a67bf7b25cd35601008d0ac1,d5948dfc0b9b680602ea7cdc40e22519e3f27472cfb700bb2d03237c2628eee9,True,
task281,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task281_6275Over6348BothLanes.zip,outputs\ablation_submissions\6348_56_ref6275_one_task_20260612\task281_6275Over6348BothLanes\submission.zip,outputs\reference_6275_flat\task281.onnx,2499,2499,0,True,True,082339765f10db32abbb7ac3454eafdfdb6b0be3a82ec60d9e69c2facad4423f,ca2a1537dd3fbe42f2138c372b482af55ba9bacf05230c700a13f8ac7caf45df,1027aa80a670a89c30164b346d8a52959037960ead7c40e80a300075c43a904e,True,
