task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task058,outputs\reference_6275_flat\task058.onnx,outputs\candidates\ref6275_zero_add_removed\task058_ZeroAddRemoved.onnx,19415,19415,0,14194,14194,0,0,0,no zero-add patterns found
task059,outputs\reference_6275_flat\task059.onnx,outputs\candidates\ref6275_zero_add_removed\task059_ZeroAddRemoved.onnx,7821,7821,0,6897,6897,0,0,0,no zero-add patterns found
task060,outputs\reference_6275_flat\task060.onnx,outputs\candidates\ref6275_zero_add_removed\task060_ZeroAddRemoved.onnx,771,771,0,2458,2458,0,0,0,no zero-add patterns found
task061,outputs\reference_6275_flat\task061.onnx,outputs\candidates\ref6275_zero_add_removed\task061_ZeroAddRemoved.onnx,17726,17726,0,17030,17030,0,0,0,no zero-add patterns found
task062,outputs\reference_6275_flat\task062.onnx,outputs\candidates\ref6275_zero_add_removed\task062_ZeroAddRemoved.onnx,2994,2994,0,23218,23218,0,0,0,no zero-add patterns found
task063,outputs\reference_6275_flat\task063.onnx,outputs\candidates\ref6275_zero_add_removed\task063_ZeroAddRemoved.onnx,276,276,0,3709,3709,0,0,0,no zero-add patterns found
task064,outputs\reference_6275_flat\task064.onnx,outputs\candidates\ref6275_zero_add_removed\task064_ZeroAddRemoved.onnx,784,784,0,7151,7151,0,0,0,no zero-add patterns found
task065,outputs\reference_6275_flat\task065.onnx,outputs\candidates\ref6275_zero_add_removed\task065_ZeroAddRemoved.onnx,369,369,0,1853,1853,0,0,0,no zero-add patterns found
task066,outputs\reference_6275_flat\task066.onnx,outputs\candidates\ref6275_zero_add_removed\task066_ZeroAddRemoved.onnx,1236,1236,0,27538,27538,0,0,0,no zero-add patterns found
task067,outputs\reference_6275_flat\task067.onnx,outputs\candidates\ref6275_zero_add_removed\task067_ZeroAddRemoved.onnx,165,165,0,892,892,0,0,0,no zero-add patterns found
task068,outputs\reference_6275_flat\task068.onnx,outputs\candidates\ref6275_zero_add_removed\task068_ZeroAddRemoved.onnx,177,177,0,1602,1602,0,0,0,no zero-add patterns found
task069,outputs\reference_6275_flat\task069.onnx,outputs\candidates\ref6275_zero_add_removed\task069_ZeroAddRemoved.onnx,4602,4602,0,30432,30432,0,0,0,no zero-add patterns found
task070,outputs\reference_6275_flat\task070.onnx,outputs\candidates\ref6275_zero_add_removed\task070_ZeroAddRemoved.onnx,258,258,0,11844,11844,0,0,0,no zero-add patterns found
task071,outputs\reference_6275_flat\task071.onnx,outputs\candidates\ref6275_zero_add_removed\task071_ZeroAddRemoved.onnx,393,393,0,5298,5298,0,0,0,no zero-add patterns found
task072,outputs\reference_6275_flat\task072.onnx,outputs\candidates\ref6275_zero_add_removed\task072_ZeroAddRemoved.onnx,255,255,0,1289,1289,0,0,0,no zero-add patterns found
task073,outputs\reference_6275_flat\task073.onnx,outputs\candidates\ref6275_zero_add_removed\task073_ZeroAddRemoved.onnx,4550,4550,0,3825,3825,0,0,0,no zero-add patterns found
task074,outputs\reference_6275_flat\task074.onnx,outputs\candidates\ref6275_zero_add_removed\task074_ZeroAddRemoved.onnx,321,321,0,1824,1824,0,0,0,no zero-add patterns found
task075,outputs\reference_6275_flat\task075.onnx,outputs\candidates\ref6275_zero_add_removed\task075_ZeroAddRemoved.onnx,507,507,0,6812,6812,0,0,0,no zero-add patterns found
task076,outputs\reference_6275_flat\task076.onnx,outputs\candidates\ref6275_zero_add_removed\task076_ZeroAddRemoved.onnx,1461,1461,0,24619,24619,0,0,0,no zero-add patterns found
task077,outputs\reference_6275_flat\task077.onnx,outputs\candidates\ref6275_zero_add_removed\task077_ZeroAddRemoved.onnx,921,921,0,3638,3638,0,0,0,no zero-add patterns found
task078,outputs\reference_6275_flat\task078.onnx,outputs\candidates\ref6275_zero_add_removed\task078_ZeroAddRemoved.onnx,252,252,0,1974,1974,0,0,0,no zero-add patterns found
task079,outputs\reference_6275_flat\task079.onnx,outputs\candidates\ref6275_zero_add_removed\task079_ZeroAddRemoved.onnx,1301,1301,0,2695,2695,0,0,0,no zero-add patterns found
task080,outputs\reference_6275_flat\task080.onnx,outputs\candidates\ref6275_zero_add_removed\task080_ZeroAddRemoved.onnx,1198,1198,0,10180,10180,0,0,0,no zero-add patterns found
task081,outputs\reference_6275_flat\task081.onnx,outputs\candidates\ref6275_zero_add_removed\task081_ZeroAddRemoved.onnx,627,627,0,3749,3749,0,0,0,no zero-add patterns found
task082,outputs\reference_6275_flat\task082.onnx,outputs\candidates\ref6275_zero_add_removed\task082_ZeroAddRemoved.onnx,392,392,0,1638,1638,0,0,0,no zero-add patterns found
task083,outputs\reference_6275_flat\task083.onnx,outputs\candidates\ref6275_zero_add_removed\task083_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task084,outputs\reference_6275_flat\task084.onnx,outputs\candidates\ref6275_zero_add_removed\task084_ZeroAddRemoved.onnx,499,499,0,2820,2820,0,0,0,no zero-add patterns found
task085,outputs\reference_6275_flat\task085.onnx,outputs\candidates\ref6275_zero_add_removed\task085_ZeroAddRemoved.onnx,558,558,0,2547,2547,0,0,0,no zero-add patterns found
task086,outputs\reference_6275_flat\task086.onnx,outputs\candidates\ref6275_zero_add_removed\task086_ZeroAddRemoved.onnx,717,717,0,3099,3099,0,0,0,no zero-add patterns found
task087,outputs\reference_6275_flat\task087.onnx,outputs\candidates\ref6275_zero_add_removed\task087_ZeroAddRemoved.onnx,72,72,0,394,394,0,0,0,no zero-add patterns found
task088,outputs\reference_6275_flat\task088.onnx,outputs\candidates\ref6275_zero_add_removed\task088_ZeroAddRemoved.onnx,1008,1008,0,4099,4099,0,0,0,no zero-add patterns found
task089,outputs\reference_6275_flat\task089.onnx,outputs\candidates\ref6275_zero_add_removed\task089_ZeroAddRemoved.onnx,876,876,0,11171,11171,0,0,0,no zero-add patterns found
task090,outputs\reference_6275_flat\task090.onnx,outputs\candidates\ref6275_zero_add_removed\task090_ZeroAddRemoved.onnx,438,438,0,19660,19660,0,0,0,no zero-add patterns found
task091,outputs\reference_6275_flat\task091.onnx,outputs\candidates\ref6275_zero_add_removed\task091_ZeroAddRemoved.onnx,702,702,0,4393,4393,0,0,0,no zero-add patterns found
task092,outputs\reference_6275_flat\task092.onnx,outputs\candidates\ref6275_zero_add_removed\task092_ZeroAddRemoved.onnx,163,163,0,3438,3438,0,0,0,no zero-add patterns found
task093,outputs\reference_6275_flat\task093.onnx,outputs\candidates\ref6275_zero_add_removed\task093_ZeroAddRemoved.onnx,354,354,0,6234,6234,0,0,0,no zero-add patterns found
task094,outputs\reference_6275_flat\task094.onnx,outputs\candidates\ref6275_zero_add_removed\task094_ZeroAddRemoved.onnx,552,552,0,2932,2932,0,0,0,no zero-add patterns found
task095,outputs\reference_6275_flat\task095.onnx,outputs\candidates\ref6275_zero_add_removed\task095_ZeroAddRemoved.onnx,4550,4550,0,3950,3950,0,0,0,no zero-add patterns found
task096,outputs\reference_6275_flat\task096.onnx,outputs\candidates\ref6275_zero_add_removed\task096_ZeroAddRemoved.onnx,3998,3998,0,42567,42567,0,0,0,no zero-add patterns found
task097,outputs\reference_6275_flat\task097.onnx,outputs\candidates\ref6275_zero_add_removed\task097_ZeroAddRemoved.onnx,27,27,0,904,904,0,0,0,no zero-add patterns found
task098,outputs\reference_6275_flat\task098.onnx,outputs\candidates\ref6275_zero_add_removed\task098_ZeroAddRemoved.onnx,4550,4550,0,3836,3836,0,0,0,no zero-add patterns found
task099,outputs\reference_6275_flat\task099.onnx,outputs\candidates\ref6275_zero_add_removed\task099_ZeroAddRemoved.onnx,24550,24550,0,19839,19839,0,0,0,no zero-add patterns found
task100,outputs\reference_6275_flat\task100.onnx,outputs\candidates\ref6275_zero_add_removed\task100_ZeroAddRemoved.onnx,335,335,0,4954,4954,0,0,0,no zero-add patterns found
task101,outputs\reference_6275_flat\task101.onnx,outputs\candidates\ref6275_zero_add_removed\task101_ZeroAddRemoved.onnx,594,594,0,19538,19538,0,0,0,no zero-add patterns found
task102,outputs\reference_6275_flat\task102.onnx,outputs\candidates\ref6275_zero_add_removed\task102_ZeroAddRemoved.onnx,1809,1809,0,6482,6482,0,0,0,no zero-add patterns found
task103,outputs\reference_6275_flat\task103.onnx,outputs\candidates\ref6275_zero_add_removed\task103_ZeroAddRemoved.onnx,180,180,0,979,979,0,0,0,no zero-add patterns found
task104,outputs\reference_6275_flat\task104.onnx,outputs\candidates\ref6275_zero_add_removed\task104_ZeroAddRemoved.onnx,3066,3066,0,3505,3505,0,0,0,no zero-add patterns found
task105,outputs\reference_6275_flat\task105.onnx,outputs\candidates\ref6275_zero_add_removed\task105_ZeroAddRemoved.onnx,606,606,0,8053,8053,0,0,0,no zero-add patterns found
