task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,removed_nodes,removed_inits,failure_reason
task046,outputs\current_6352_53_stack\overrides\task046.onnx,outputs\candidates\current_6352_53_zero_add_removed\task046_ZeroAddRemoved.onnx,2772,2772,0,7494,7494,0,0,0,no zero-add patterns found
task047,outputs\current_6352_53_stack\overrides\task047.onnx,outputs\candidates\current_6352_53_zero_add_removed\task047_ZeroAddRemoved.onnx,324,324,0,3091,3091,0,0,0,no zero-add patterns found
task048,outputs\current_6352_53_stack\overrides\task048.onnx,outputs\candidates\current_6352_53_zero_add_removed\task048_ZeroAddRemoved.onnx,396,396,0,4064,4064,0,0,0,no zero-add patterns found
task049,outputs\current_6352_53_stack\overrides\task049.onnx,outputs\candidates\current_6352_53_zero_add_removed\task049_ZeroAddRemoved.onnx,1276,1276,0,3265,3265,0,0,0,no zero-add patterns found
task050,outputs\current_6352_53_stack\overrides\task050.onnx,outputs\candidates\current_6352_53_zero_add_removed\task050_ZeroAddRemoved.onnx,675,675,0,1939,1939,0,0,0,no zero-add patterns found
task051,outputs\current_6352_53_stack\overrides\task051.onnx,outputs\candidates\current_6352_53_zero_add_removed\task051_ZeroAddRemoved.onnx,713,713,0,3039,3039,0,0,0,no zero-add patterns found
task052,outputs\current_6352_53_stack\overrides\task052.onnx,outputs\candidates\current_6352_53_zero_add_removed\task052_ZeroAddRemoved.onnx,231,231,0,986,986,0,0,0,no zero-add patterns found
task053,outputs\current_6352_53_stack\overrides\task053.onnx,outputs\candidates\current_6352_53_zero_add_removed\task053_ZeroAddRemoved.onnx,270,270,0,175,175,0,0,0,no zero-add patterns found
task054,outputs\current_6352_53_stack\overrides\task054.onnx,outputs\candidates\current_6352_53_zero_add_removed\task054_ZeroAddRemoved.onnx,14339,14330,-9,48606,48468,-138,4,1,
task055,outputs\current_6352_53_stack\overrides\task055.onnx,outputs\candidates\current_6352_53_zero_add_removed\task055_ZeroAddRemoved.onnx,2907,2907,0,3952,3952,0,0,0,no zero-add patterns found
task056,outputs\current_6352_53_stack\overrides\task056.onnx,outputs\candidates\current_6352_53_zero_add_removed\task056_ZeroAddRemoved.onnx,231,231,0,815,815,0,0,0,no zero-add patterns found
task057,outputs\current_6352_53_stack\overrides\task057.onnx,outputs\candidates\current_6352_53_zero_add_removed\task057_ZeroAddRemoved.onnx,173,173,0,1616,1616,0,0,0,no zero-add patterns found
task058,outputs\current_6352_53_stack\overrides\task058.onnx,outputs\candidates\current_6352_53_zero_add_removed\task058_ZeroAddRemoved.onnx,19415,19415,0,14194,14194,0,0,0,no zero-add patterns found
task059,outputs\current_6352_53_stack\overrides\task059.onnx,outputs\candidates\current_6352_53_zero_add_removed\task059_ZeroAddRemoved.onnx,7821,7821,0,6897,6897,0,0,0,no zero-add patterns found
task060,outputs\current_6352_53_stack\overrides\task060.onnx,outputs\candidates\current_6352_53_zero_add_removed\task060_ZeroAddRemoved.onnx,771,771,0,2458,2458,0,0,0,no zero-add patterns found
task061,outputs\current_6352_53_stack\overrides\task061.onnx,outputs\candidates\current_6352_53_zero_add_removed\task061_ZeroAddRemoved.onnx,17726,17726,0,17030,17030,0,0,0,no zero-add patterns found
task062,outputs\current_6352_53_stack\overrides\task062.onnx,outputs\candidates\current_6352_53_zero_add_removed\task062_ZeroAddRemoved.onnx,2976,2976,0,4028,4028,0,0,0,no zero-add patterns found
task063,outputs\current_6352_53_stack\overrides\task063.onnx,outputs\candidates\current_6352_53_zero_add_removed\task063_ZeroAddRemoved.onnx,276,276,0,3709,3709,0,0,0,no zero-add patterns found
task064,outputs\current_6352_53_stack\overrides\task064.onnx,outputs\candidates\current_6352_53_zero_add_removed\task064_ZeroAddRemoved.onnx,723,723,0,3883,3883,0,0,0,no zero-add patterns found
task065,outputs\current_6352_53_stack\overrides\task065.onnx,outputs\candidates\current_6352_53_zero_add_removed\task065_ZeroAddRemoved.onnx,249,249,0,1936,1936,0,0,0,no zero-add patterns found
task066,outputs\current_6352_53_stack\overrides\task066.onnx,outputs\candidates\current_6352_53_zero_add_removed\task066_ZeroAddRemoved.onnx,860,860,0,16114,16114,0,0,0,no zero-add patterns found
task067,outputs\current_6352_53_stack\overrides\task067.onnx,outputs\candidates\current_6352_53_zero_add_removed\task067_ZeroAddRemoved.onnx,165,165,0,892,892,0,0,0,no zero-add patterns found
task068,outputs\current_6352_53_stack\overrides\task068.onnx,outputs\candidates\current_6352_53_zero_add_removed\task068_ZeroAddRemoved.onnx,177,177,0,1602,1602,0,0,0,no zero-add patterns found
task069,outputs\current_6352_53_stack\overrides\task069.onnx,outputs\candidates\current_6352_53_zero_add_removed\task069_ZeroAddRemoved.onnx,4566,4566,0,30370,30370,0,0,0,no zero-add patterns found
task070,outputs\current_6352_53_stack\overrides\task070.onnx,outputs\candidates\current_6352_53_zero_add_removed\task070_ZeroAddRemoved.onnx,258,258,0,11844,11844,0,0,0,no zero-add patterns found
task071,outputs\current_6352_53_stack\overrides\task071.onnx,outputs\candidates\current_6352_53_zero_add_removed\task071_ZeroAddRemoved.onnx,3722,3722,0,7954,7954,0,0,0,no zero-add patterns found
task072,outputs\current_6352_53_stack\overrides\task072.onnx,outputs\candidates\current_6352_53_zero_add_removed\task072_ZeroAddRemoved.onnx,255,255,0,1289,1289,0,0,0,no zero-add patterns found
task073,outputs\current_6352_53_stack\overrides\task073.onnx,outputs\candidates\current_6352_53_zero_add_removed\task073_ZeroAddRemoved.onnx,1500,1500,0,1397,1397,0,0,0,no zero-add patterns found
task074,outputs\current_6352_53_stack\overrides\task074.onnx,outputs\candidates\current_6352_53_zero_add_removed\task074_ZeroAddRemoved.onnx,321,321,0,1824,1824,0,0,0,no zero-add patterns found
task075,outputs\current_6352_53_stack\overrides\task075.onnx,outputs\candidates\current_6352_53_zero_add_removed\task075_ZeroAddRemoved.onnx,419,419,0,1534,1534,0,0,0,no zero-add patterns found
task076,outputs\current_6352_53_stack\overrides\task076.onnx,outputs\candidates\current_6352_53_zero_add_removed\task076_ZeroAddRemoved.onnx,12122,12122,0,54163,54163,0,0,0,no zero-add patterns found
task077,outputs\current_6352_53_stack\overrides\task077.onnx,outputs\candidates\current_6352_53_zero_add_removed\task077_ZeroAddRemoved.onnx,3569,3569,0,25987,25987,0,0,0,no zero-add patterns found
task078,outputs\current_6352_53_stack\overrides\task078.onnx,outputs\candidates\current_6352_53_zero_add_removed\task078_ZeroAddRemoved.onnx,252,252,0,1974,1974,0,0,0,no zero-add patterns found
task079,outputs\current_6352_53_stack\overrides\task079.onnx,outputs\candidates\current_6352_53_zero_add_removed\task079_ZeroAddRemoved.onnx,1301,1301,0,2695,2695,0,0,0,no zero-add patterns found
task080,outputs\current_6352_53_stack\overrides\task080.onnx,outputs\candidates\current_6352_53_zero_add_removed\task080_ZeroAddRemoved.onnx,1198,1198,0,10133,10133,0,0,0,no zero-add patterns found
task081,outputs\current_6352_53_stack\overrides\task081.onnx,outputs\candidates\current_6352_53_zero_add_removed\task081_ZeroAddRemoved.onnx,627,627,0,3749,3749,0,0,0,no zero-add patterns found
task082,outputs\current_6352_53_stack\overrides\task082.onnx,outputs\candidates\current_6352_53_zero_add_removed\task082_ZeroAddRemoved.onnx,392,392,0,1638,1638,0,0,0,no zero-add patterns found
task083,outputs\current_6352_53_stack\overrides\task083.onnx,outputs\candidates\current_6352_53_zero_add_removed\task083_ZeroAddRemoved.onnx,9000,9000,0,7454,7454,0,0,0,no zero-add patterns found
task084,outputs\current_6352_53_stack\overrides\task084.onnx,outputs\candidates\current_6352_53_zero_add_removed\task084_ZeroAddRemoved.onnx,499,499,0,2820,2820,0,0,0,no zero-add patterns found
task085,outputs\current_6352_53_stack\overrides\task085.onnx,outputs\candidates\current_6352_53_zero_add_removed\task085_ZeroAddRemoved.onnx,12308,12308,0,17531,17531,0,0,0,no zero-add patterns found
task086,outputs\current_6352_53_stack\overrides\task086.onnx,outputs\candidates\current_6352_53_zero_add_removed\task086_ZeroAddRemoved.onnx,689,689,0,3120,3120,0,0,0,no zero-add patterns found
task087,outputs\current_6352_53_stack\overrides\task087.onnx,outputs\candidates\current_6352_53_zero_add_removed\task087_ZeroAddRemoved.onnx,72,72,0,394,394,0,0,0,no zero-add patterns found
task088,outputs\current_6352_53_stack\overrides\task088.onnx,outputs\candidates\current_6352_53_zero_add_removed\task088_ZeroAddRemoved.onnx,668,668,0,4006,4006,0,0,0,no zero-add patterns found
task089,outputs\current_6352_53_stack\overrides\task089.onnx,outputs\candidates\current_6352_53_zero_add_removed\task089_ZeroAddRemoved.onnx,876,876,0,10554,10554,0,0,0,no zero-add patterns found
task090,outputs\current_6352_53_stack\overrides\task090.onnx,outputs\candidates\current_6352_53_zero_add_removed\task090_ZeroAddRemoved.onnx,1818,1818,0,3784,3784,0,0,0,no zero-add patterns found
task091,outputs\current_6352_53_stack\overrides\task091.onnx,outputs\candidates\current_6352_53_zero_add_removed\task091_ZeroAddRemoved.onnx,702,702,0,3325,3325,0,0,0,no zero-add patterns found
task092,outputs\current_6352_53_stack\overrides\task092.onnx,outputs\candidates\current_6352_53_zero_add_removed\task092_ZeroAddRemoved.onnx,122,122,0,2577,2577,0,0,0,no zero-add patterns found
task093,outputs\current_6352_53_stack\overrides\task093.onnx,outputs\candidates\current_6352_53_zero_add_removed\task093_ZeroAddRemoved.onnx,354,354,0,6234,6234,0,0,0,no zero-add patterns found
task094,outputs\current_6352_53_stack\overrides\task094.onnx,outputs\candidates\current_6352_53_zero_add_removed\task094_ZeroAddRemoved.onnx,552,552,0,3478,3478,0,0,0,no zero-add patterns found
task095,outputs\current_6352_53_stack\overrides\task095.onnx,outputs\candidates\current_6352_53_zero_add_removed\task095_ZeroAddRemoved.onnx,4500,4500,0,3797,3797,0,0,0,no zero-add patterns found
task096,outputs\current_6352_53_stack\overrides\task096.onnx,outputs\candidates\current_6352_53_zero_add_removed\task096_ZeroAddRemoved.onnx,0,0,0,11980,11980,0,0,0,no zero-add patterns found
