task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task087,outputs\onnx\task087.onnx,outputs\candidates\deduplicated_all\task087_DeduplicateInitializers.onnx,144,144,0,474,474,0,5,5,0,0
task088,outputs\onnx\task088.onnx,outputs\candidates\deduplicated_all\task088_DeduplicateInitializers.onnx,10824,10824,0,14980,14980,0,18,18,0,0
task089,outputs\onnx\task089.onnx,outputs\candidates\deduplicated_all\task089_DeduplicateInitializers.onnx,879,879,0,17792,17792,0,25,25,0,0
task090,outputs\onnx\task090.onnx,outputs\candidates\deduplicated_all\task090_DeduplicateInitializers.onnx,438,438,0,19660,19660,0,41,41,0,0
task091,outputs\onnx\task091.onnx,outputs\candidates\deduplicated_all\task091_DeduplicateInitializers.onnx,963,963,0,4627,4627,0,14,14,0,0
task092,outputs\onnx\task092.onnx,outputs\candidates\deduplicated_all\task092_DeduplicateInitializers.onnx,90,90,0,4299,4299,0,9,9,0,0
task093,outputs\onnx\task093.onnx,outputs\candidates\deduplicated_all\task093_DeduplicateInitializers.onnx,667,667,0,5415,5415,0,15,15,0,0
task094,outputs\onnx\task094.onnx,outputs\candidates\deduplicated_all\task094_DeduplicateInitializers.onnx,802,802,0,3767,3767,0,21,21,0,0
task095,outputs\onnx\task095.onnx,outputs\candidates\deduplicated_all\task095_DeduplicateInitializers.onnx,4550,4550,0,3950,3950,0,2,2,0,0
task096,outputs\onnx\task096.onnx,outputs\candidates\deduplicated_all\task096_DeduplicateInitializers.onnx,8858,8858,0,64252,64252,0,42,42,0,0
task097,outputs\onnx\task097.onnx,outputs\candidates\deduplicated_all\task097_DeduplicateInitializers.onnx,1938,1938,0,2494,2494,0,6,6,0,0
task098,outputs\onnx\task098.onnx,outputs\candidates\deduplicated_all\task098_DeduplicateInitializers.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task099,outputs\onnx\task099.onnx,outputs\candidates\deduplicated_all\task099_DeduplicateInitializers.onnx,24550,24550,0,19839,19839,0,2,2,0,0
task100,outputs\onnx\task100.onnx,outputs\candidates\deduplicated_all\task100_DeduplicateInitializers.onnx,335,335,0,4954,4954,0,14,14,0,0
