task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task072,base_submission,outputs\current_6352_53_stack\base_submission\task072.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task073,base_submission,outputs\current_6352_53_stack\base_submission\task073.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task074,base_submission,outputs\current_6352_53_stack\base_submission\task074.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task075,base_submission,outputs\current_6352_53_stack\base_submission\task075.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task076,base_submission,outputs\current_6352_53_stack\base_submission\task076.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task077,base_submission,outputs\current_6352_53_stack\base_submission\task077.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task078,base_submission,outputs\current_6352_53_stack\base_submission\task078.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task079,base_submission,outputs\current_6352_53_stack\base_submission\task079.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task080,base_submission,outputs\current_6352_53_stack\base_submission\task080.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task081,base_submission,outputs\current_6352_53_stack\base_submission\task081.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task082,base_submission,outputs\current_6352_53_stack\base_submission\task082.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task083,base_submission,outputs\current_6352_53_stack\base_submission\task083.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task084,base_submission,outputs\current_6352_53_stack\base_submission\task084.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task085,base_submission,outputs\current_6352_53_stack\base_submission\task085.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task086,base_submission,outputs\current_6352_53_stack\base_submission\task086.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task087,base_submission,outputs\current_6352_53_stack\base_submission\task087.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task088,base_submission,outputs\current_6352_53_stack\base_submission\task088.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task089,base_submission,outputs\current_6352_53_stack\base_submission\task089.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task090,base_submission,outputs\current_6352_53_stack\base_submission\task090.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task091,base_submission,outputs\current_6352_53_stack\base_submission\task091.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task092,base_submission,outputs\current_6352_53_stack\base_submission\task092.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
task093,base_submission,outputs\current_6352_53_stack\base_submission\task093.onnx,,,,,,,,,,,,,,,,,,,,,,,,,,,False,final node is not a single-output Cast to graph output
