task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task064,outputs\reference_6275_flat\task064.onnx,outputs\candidates\ref6275_deduplicated\task064_DeduplicateInitializers.onnx,784,784,0,7151,7151,0,20,20,0,0
task065,outputs\reference_6275_flat\task065.onnx,outputs\candidates\ref6275_deduplicated\task065_DeduplicateInitializers.onnx,369,369,0,1853,1853,0,12,12,0,0
task066,outputs\reference_6275_flat\task066.onnx,outputs\candidates\ref6275_deduplicated\task066_DeduplicateInitializers.onnx,1236,1236,0,27538,27538,0,21,21,0,0
task067,outputs\reference_6275_flat\task067.onnx,outputs\candidates\ref6275_deduplicated\task067_DeduplicateInitializers.onnx,165,165,0,892,892,0,4,4,0,0
task068,outputs\reference_6275_flat\task068.onnx,outputs\candidates\ref6275_deduplicated\task068_DeduplicateInitializers.onnx,177,177,0,1602,1602,0,11,11,0,0
task069,outputs\reference_6275_flat\task069.onnx,outputs\candidates\ref6275_deduplicated\task069_DeduplicateInitializers.onnx,4602,4602,0,30432,30432,0,41,41,0,0
task070,outputs\reference_6275_flat\task070.onnx,outputs\candidates\ref6275_deduplicated\task070_DeduplicateInitializers.onnx,258,258,0,11844,11844,0,16,16,0,0
task071,outputs\reference_6275_flat\task071.onnx,outputs\candidates\ref6275_deduplicated\task071_DeduplicateInitializers.onnx,393,393,0,5298,5298,0,13,13,0,0
task072,outputs\reference_6275_flat\task072.onnx,outputs\candidates\ref6275_deduplicated\task072_DeduplicateInitializers.onnx,255,255,0,1289,1289,0,8,8,0,0
task073,outputs\reference_6275_flat\task073.onnx,outputs\candidates\ref6275_deduplicated\task073_DeduplicateInitializers.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task074,outputs\reference_6275_flat\task074.onnx,outputs\candidates\ref6275_deduplicated\task074_DeduplicateInitializers.onnx,321,321,0,1824,1824,0,13,13,0,0
task075,outputs\reference_6275_flat\task075.onnx,outputs\candidates\ref6275_deduplicated\task075_DeduplicateInitializers.onnx,507,507,0,6812,6812,0,30,30,0,0
task076,outputs\reference_6275_flat\task076.onnx,outputs\candidates\ref6275_deduplicated\task076_DeduplicateInitializers.onnx,1461,1461,0,24619,24619,0,32,32,0,0
task077,outputs\reference_6275_flat\task077.onnx,outputs\candidates\ref6275_deduplicated\task077_DeduplicateInitializers.onnx,921,921,0,3638,3638,0,20,20,0,0
task078,outputs\reference_6275_flat\task078.onnx,outputs\candidates\ref6275_deduplicated\task078_DeduplicateInitializers.onnx,252,252,0,1974,1974,0,11,11,0,0
task079,outputs\reference_6275_flat\task079.onnx,outputs\candidates\ref6275_deduplicated\task079_DeduplicateInitializers.onnx,1301,1301,0,2695,2695,0,7,7,0,0
task080,outputs\reference_6275_flat\task080.onnx,outputs\candidates\ref6275_deduplicated\task080_DeduplicateInitializers.onnx,1198,1198,0,10180,10180,0,35,35,0,0
task081,outputs\reference_6275_flat\task081.onnx,outputs\candidates\ref6275_deduplicated\task081_DeduplicateInitializers.onnx,627,627,0,3749,3749,0,17,17,0,0
task082,outputs\reference_6275_flat\task082.onnx,outputs\candidates\ref6275_deduplicated\task082_DeduplicateInitializers.onnx,392,392,0,1638,1638,0,8,8,0,0
task083,outputs\reference_6275_flat\task083.onnx,outputs\candidates\ref6275_deduplicated\task083_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task084,outputs\reference_6275_flat\task084.onnx,outputs\candidates\ref6275_deduplicated\task084_DeduplicateInitializers.onnx,499,499,0,2820,2820,0,14,14,0,0
task085,outputs\reference_6275_flat\task085.onnx,outputs\candidates\ref6275_deduplicated\task085_DeduplicateInitializers.onnx,558,558,0,2547,2547,0,14,14,0,0
task086,outputs\reference_6275_flat\task086.onnx,outputs\candidates\ref6275_deduplicated\task086_DeduplicateInitializers.onnx,717,717,0,3099,3099,0,19,19,0,0
task087,outputs\reference_6275_flat\task087.onnx,outputs\candidates\ref6275_deduplicated\task087_DeduplicateInitializers.onnx,72,72,0,394,394,0,4,4,0,0
