task_id,selected_by,replacement_model_path,candidate_zip_path,upload_submission_path,archive_estimated_cost,current_estimated_cost,cost_delta_archive_minus_current,base_entry_size_bytes,replacement_file_size_bytes,base_sha256,replacement_sha256,candidate_valid,failure_reason
task226,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task226.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task226_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task226_ZeroInitializerCompression\submission.zip,,,,4625,4556,adbe789aeb65453c344dc91ee8ee73e451cdd63ae48630fec91dc77cb89acaf1,c6e5980df9a47be141211db2a8f63093269924d81d5049c8c2012dc8165973d1,True,
task231,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task231.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task231_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task231_ZeroInitializerCompression\submission.zip,,,,2684,2767,0c1e71372911c46c9c64b66ca2cb0069688208ae594f8bbcb5c63f8cce07a8f2,d934790d52c06cce28e67a90c9dede4811aee6406b856c98d06af1dd6211b9f2,True,
task239,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task239.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task239_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task239_ZeroInitializerCompression\submission.zip,,,,3146,3219,1bb32963e7cb07aed708c1c9c2e30991506b48570898ddade7fec2515559fc95,aa1d00a165e3a6b5356ad1a6f4d734adf818705c0f5e7144e16d3f4c4ce8d806,True,
task246,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task246.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task246_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task246_ZeroInitializerCompression\submission.zip,,,,3824,3571,379b5a73e3dee6f56eedab3ab0bd0ed8414179c6e7ae1edd0a948060d6401309,c01e71106e6e41ec96a1008a0bc734c04d46d6c72c840bcfcedbd24c18ec69dc,True,
task249,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task249.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task249_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task249_ZeroInitializerCompression\submission.zip,,,,2482,2136,8f23574b7b0f46cc61a7c7c546332f1dd7c4b77385030feda3fd9683d1b77d97,615b382ec244248931bb1a96361d1cd96fb5e718bce1d03df0ec16816bb2bb8c,True,
task254,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task254.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task254_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task254_ZeroInitializerCompression\submission.zip,,,,4960,4945,cce96782d9b4b1065b63ebb4a84c1ba6253724c3cd2a387838d205cf71eaae5f,04828aec152eedcd0f327dc84cc76f3a0fe40ffb9028b1a4c5dec4367f499ccb,True,
task257,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task257.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task257_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task257_ZeroInitializerCompression\submission.zip,,,,1369,1470,316eaaf4e1a47569341378a8a58e40559f938a7fe5ae659867c0f2117bf8e021,f0ea4f5b437043749aebf17de21ee20b319463db3de922eec3d91837d69d2062,True,
task270,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task270.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task270_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task270_ZeroInitializerCompression\submission.zip,,,,13846,13088,7ea4f725915693b001ae7284db0e97e14f0347d38bfc6c84df0ea5d6002eff17,6010cbc439e04c81d5a4411f646ca035c40a4ece4ead7b571f6005a8ea0de82d,True,
task275,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task275.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task275_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task275_ZeroInitializerCompression\submission.zip,,,,16304,14619,749f9601004e452d7eefecd8387bd82ef4d30c73a87566d263f5ea4895b9406e,238831b6517a14fd8655960703eb6020485dfcc1f9e10bae8a77586d5b042bb8,True,
task277,all,outputs\candidates\ref6275_zero_initializer_improved_flat\task277.onnx,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task277_ZeroInitializerCompression.zip,outputs\ablation_submissions\ref6275_zero_initializer_single_task_20260611\task277_ZeroInitializerCompression\submission.zip,,,,6687,6720,cdd58c9156822d0c5c668ebff763d57659136b9c3169c7db59aad321bb92dad1,800d96aa7e792ccf926afd91d8f2be20f25e2864aed0f18e48bed11697c29f38,True,
