task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task054,outputs\current_6349_78_stack\overrides\task054.onnx,outputs\candidates\dedup_6349_78\task054_DeduplicateInitializers.onnx,14339,14339,0,48606,48606,0,105,105,0,0
task055,outputs\current_6349_78_stack\overrides\task055.onnx,outputs\candidates\dedup_6349_78\task055_DeduplicateInitializers.onnx,2907,2907,0,3952,3952,0,8,8,0,0
task056,outputs\current_6349_78_stack\overrides\task056.onnx,outputs\candidates\dedup_6349_78\task056_DeduplicateInitializers.onnx,231,231,0,815,815,0,3,3,0,0
task057,outputs\current_6349_78_stack\overrides\task057.onnx,outputs\candidates\dedup_6349_78\task057_DeduplicateInitializers.onnx,173,173,0,1616,1616,0,6,6,0,0
task058,outputs\current_6349_78_stack\overrides\task058.onnx,outputs\candidates\dedup_6349_78\task058_DeduplicateInitializers.onnx,19415,19415,0,14194,14194,0,11,11,0,0
task059,outputs\current_6349_78_stack\overrides\task059.onnx,outputs\candidates\dedup_6349_78\task059_DeduplicateInitializers.onnx,7821,7821,0,6897,6897,0,16,16,0,0
task060,outputs\current_6349_78_stack\overrides\task060.onnx,outputs\candidates\dedup_6349_78\task060_DeduplicateInitializers.onnx,771,771,0,2458,2458,0,18,18,0,0
task061,outputs\current_6349_78_stack\overrides\task061.onnx,outputs\candidates\dedup_6349_78\task061_DeduplicateInitializers.onnx,17726,17726,0,17030,17030,0,12,12,0,0
task062,outputs\current_6349_78_stack\overrides\task062.onnx,outputs\candidates\dedup_6349_78\task062_DeduplicateInitializers.onnx,2976,2976,0,4028,4028,0,16,16,0,0
task063,outputs\current_6349_78_stack\overrides\task063.onnx,outputs\candidates\dedup_6349_78\task063_DeduplicateInitializers.onnx,276,276,0,3709,3709,0,13,13,0,0
task064,outputs\current_6349_78_stack\overrides\task064.onnx,outputs\candidates\dedup_6349_78\task064_DeduplicateInitializers.onnx,723,723,0,3883,3883,0,18,18,0,0
task065,outputs\current_6349_78_stack\overrides\task065.onnx,outputs\candidates\dedup_6349_78\task065_DeduplicateInitializers.onnx,249,249,0,1936,1936,0,12,12,0,0
task066,outputs\current_6349_78_stack\overrides\task066.onnx,outputs\candidates\dedup_6349_78\task066_DeduplicateInitializers.onnx,860,860,0,16114,16114,0,21,21,0,0
task067,outputs\current_6349_78_stack\overrides\task067.onnx,outputs\candidates\dedup_6349_78\task067_DeduplicateInitializers.onnx,165,165,0,892,892,0,4,4,0,0
task068,outputs\current_6349_78_stack\overrides\task068.onnx,outputs\candidates\dedup_6349_78\task068_DeduplicateInitializers.onnx,177,177,0,1602,1602,0,11,11,0,0
task069,outputs\current_6349_78_stack\overrides\task069.onnx,outputs\candidates\dedup_6349_78\task069_DeduplicateInitializers.onnx,4566,4566,0,30370,30370,0,43,43,0,0
task070,outputs\current_6349_78_stack\overrides\task070.onnx,outputs\candidates\dedup_6349_78\task070_DeduplicateInitializers.onnx,258,258,0,11844,11844,0,16,16,0,0
task071,outputs\current_6349_78_stack\overrides\task071.onnx,outputs\candidates\dedup_6349_78\task071_DeduplicateInitializers.onnx,3722,3722,0,7954,7954,0,26,26,0,0
task072,outputs\current_6349_78_stack\overrides\task072.onnx,outputs\candidates\dedup_6349_78\task072_DeduplicateInitializers.onnx,255,255,0,1289,1289,0,8,8,0,0
task073,outputs\current_6349_78_stack\overrides\task073.onnx,outputs\candidates\dedup_6349_78\task073_DeduplicateInitializers.onnx,1500,1500,0,1397,1397,0,1,1,0,0
task074,outputs\current_6349_78_stack\overrides\task074.onnx,outputs\candidates\dedup_6349_78\task074_DeduplicateInitializers.onnx,321,321,0,1824,1824,0,13,13,0,0
task075,outputs\current_6349_78_stack\overrides\task075.onnx,outputs\candidates\dedup_6349_78\task075_DeduplicateInitializers.onnx,419,419,0,1534,1534,0,16,16,0,0
task076,outputs\current_6349_78_stack\overrides\task076.onnx,outputs\candidates\dedup_6349_78\task076_DeduplicateInitializers.onnx,12122,12122,0,54163,54163,0,42,42,0,0
task077,outputs\current_6349_78_stack\overrides\task077.onnx,outputs\candidates\dedup_6349_78\task077_DeduplicateInitializers.onnx,3569,3569,0,25987,25987,0,28,28,0,0
task078,outputs\current_6349_78_stack\overrides\task078.onnx,outputs\candidates\dedup_6349_78\task078_DeduplicateInitializers.onnx,252,252,0,1974,1974,0,11,11,0,0
task079,outputs\current_6349_78_stack\overrides\task079.onnx,outputs\candidates\dedup_6349_78\task079_DeduplicateInitializers.onnx,1301,1301,0,2695,2695,0,7,7,0,0
task080,outputs\current_6349_78_stack\overrides\task080.onnx,outputs\candidates\dedup_6349_78\task080_DeduplicateInitializers.onnx,1198,1198,0,10133,10133,0,35,35,0,0
task081,outputs\current_6349_78_stack\overrides\task081.onnx,outputs\candidates\dedup_6349_78\task081_DeduplicateInitializers.onnx,627,627,0,3749,3749,0,17,17,0,0
task082,outputs\current_6349_78_stack\overrides\task082.onnx,outputs\candidates\dedup_6349_78\task082_DeduplicateInitializers.onnx,392,392,0,1638,1638,0,8,8,0,0
task083,outputs\current_6349_78_stack\overrides\task083.onnx,outputs\candidates\dedup_6349_78\task083_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task084,outputs\current_6349_78_stack\overrides\task084.onnx,outputs\candidates\dedup_6349_78\task084_DeduplicateInitializers.onnx,499,499,0,2820,2820,0,14,14,0,0
task085,outputs\current_6349_78_stack\overrides\task085.onnx,outputs\candidates\dedup_6349_78\task085_DeduplicateInitializers.onnx,12308,12308,0,17531,17531,0,36,36,0,0
task086,outputs\current_6349_78_stack\overrides\task086.onnx,outputs\candidates\dedup_6349_78\task086_DeduplicateInitializers.onnx,689,689,0,3120,3120,0,19,19,0,0
task087,outputs\current_6349_78_stack\overrides\task087.onnx,outputs\candidates\dedup_6349_78\task087_DeduplicateInitializers.onnx,72,72,0,394,394,0,4,4,0,0
task088,outputs\current_6349_78_stack\overrides\task088.onnx,outputs\candidates\dedup_6349_78\task088_DeduplicateInitializers.onnx,668,668,0,4006,4006,0,20,20,0,0
task089,outputs\current_6349_78_stack\overrides\task089.onnx,outputs\candidates\dedup_6349_78\task089_DeduplicateInitializers.onnx,876,876,0,10554,10554,0,24,24,0,0
task090,outputs\current_6349_78_stack\overrides\task090.onnx,outputs\candidates\dedup_6349_78\task090_DeduplicateInitializers.onnx,1818,1818,0,3784,3784,0,19,19,0,0
task091,outputs\current_6349_78_stack\overrides\task091.onnx,outputs\candidates\dedup_6349_78\task091_DeduplicateInitializers.onnx,702,702,0,3325,3325,0,14,14,0,0
task092,outputs\current_6349_78_stack\overrides\task092.onnx,outputs\candidates\dedup_6349_78\task092_DeduplicateInitializers.onnx,122,122,0,2577,2577,0,3,3,0,0
task093,outputs\current_6349_78_stack\overrides\task093.onnx,outputs\candidates\dedup_6349_78\task093_DeduplicateInitializers.onnx,354,354,0,6234,6234,0,10,10,0,0
task094,outputs\current_6349_78_stack\overrides\task094.onnx,outputs\candidates\dedup_6349_78\task094_DeduplicateInitializers.onnx,552,552,0,3478,3478,0,11,11,0,0
task095,outputs\current_6349_78_stack\overrides\task095.onnx,outputs\candidates\dedup_6349_78\task095_DeduplicateInitializers.onnx,4500,4500,0,3797,3797,0,1,1,0,0
task096,outputs\current_6349_78_stack\overrides\task096.onnx,outputs\candidates\dedup_6349_78\task096_DeduplicateInitializers.onnx,0,0,0,12075,12075,0,0,0,0,0
