task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task164,base_submission,outputs\current_6352_53_stack\base_submission\task164.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task164_base_submission_NoopNodePruned.onnx,30,30,0,479,479,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task171,base_submission,outputs\current_6352_53_stack\base_submission\task171.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task171_base_submission_NoopNodePruned.onnx,910,910,0,3825,3825,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task172,base_submission,outputs\current_6352_53_stack\base_submission\task172.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task172_base_submission_NoopNodePruned.onnx,30,30,0,479,479,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task179,base_submission,outputs\current_6352_53_stack\base_submission\task179.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task179_base_submission_NoopNodePruned.onnx,0,0,0,170,170,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task181,base_submission,outputs\current_6352_53_stack\base_submission\task181.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task181_base_submission_NoopNodePruned.onnx,1194,1194,0,3083,3083,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task190,base_submission,outputs\current_6352_53_stack\base_submission\task190.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task190_base_submission_NoopNodePruned.onnx,11204,11204,0,8781,8781,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task193,base_submission,outputs\current_6352_53_stack\base_submission\task193.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task193_base_submission_NoopNodePruned.onnx,53661,53661,0,1925,1925,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task195,base_submission,outputs\current_6352_53_stack\base_submission\task195.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task195_base_submission_NoopNodePruned.onnx,14229,14229,0,5381,5381,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task199,base_submission,outputs\current_6352_53_stack\base_submission\task199.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task199_base_submission_NoopNodePruned.onnx,16157,16157,0,2948,2948,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task210,base_submission,outputs\current_6352_53_stack\base_submission\task210.onnx,outputs\candidates\current_6352_53_noop_node_prune_base_winners\task210_base_submission_NoopNodePruned.onnx,30,30,0,479,479,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
