task_id,lane,source_model_path,output_model_path,source_estimated_cost,output_estimated_cost,estimated_cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_bytes,output_initializer_bytes,initializer_bytes_delta,source_initializer_count,output_initializer_count,changed,removed_dead_nodes,removed_unused_initializers,removed_unused_value_info,deduplicated_initializers,constant_gather_tables_pruned,constant_gather_rows_removed,constant_gather_bytes_removed,checker_passed,forbidden_ops_passed,static_shapes_passed,equivalence_passed,equivalence_inputs_checked,equivalence_max_abs_diff,candidate_valid,failure_reason
task131,overrides,outputs\current_6352_53_stack\overrides\task131.onnx,outputs\candidates\current_6352_53_noop_node_prune\task131_overrides_NoopNodePruned.onnx,44550,44550,0,7860,7860,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task132,overrides,outputs\current_6352_53_stack\overrides\task132.onnx,outputs\candidates\current_6352_53_noop_node_prune\task132_overrides_NoopNodePruned.onnx,29458,29458,0,2585,2585,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task133,overrides,outputs\current_6352_53_stack\overrides\task133.onnx,outputs\candidates\current_6352_53_noop_node_prune\task133_overrides_NoopNodePruned.onnx,191411,191411,0,24395,24395,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task134,overrides,outputs\current_6352_53_stack\overrides\task134.onnx,outputs\candidates\current_6352_53_noop_node_prune\task134_overrides_NoopNodePruned.onnx,12380,12380,0,4599,4599,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task135,overrides,outputs\current_6352_53_stack\overrides\task135.onnx,outputs\candidates\current_6352_53_noop_node_prune\task135_overrides_NoopNodePruned.onnx,360,360,0,251,251,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task136,overrides,outputs\current_6352_53_stack\overrides\task136.onnx,outputs\candidates\current_6352_53_noop_node_prune\task136_overrides_NoopNodePruned.onnx,4836,4836,0,2827,2827,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task137,overrides,outputs\current_6352_53_stack\overrides\task137.onnx,outputs\candidates\current_6352_53_noop_node_prune\task137_overrides_NoopNodePruned.onnx,58014,58014,0,2684,2684,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task138,overrides,outputs\current_6352_53_stack\overrides\task138.onnx,outputs\candidates\current_6352_53_noop_node_prune\task138_overrides_NoopNodePruned.onnx,38895,38895,0,5476,5476,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task139,overrides,outputs\current_6352_53_stack\overrides\task139.onnx,outputs\candidates\current_6352_53_noop_node_prune\task139_overrides_NoopNodePruned.onnx,3630,3630,0,3865,3865,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task140,overrides,outputs\current_6352_53_stack\overrides\task140.onnx,outputs\candidates\current_6352_53_noop_node_prune\task140_overrides_NoopNodePruned.onnx,368,368,0,394,394,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task141,overrides,outputs\current_6352_53_stack\overrides\task141.onnx,outputs\candidates\current_6352_53_noop_node_prune\task141_overrides_NoopNodePruned.onnx,7757,7757,0,1874,1874,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task142,overrides,outputs\current_6352_53_stack\overrides\task142.onnx,outputs\candidates\current_6352_53_noop_node_prune\task142_overrides_NoopNodePruned.onnx,1521,1521,0,703,703,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task143,overrides,outputs\current_6352_53_stack\overrides\task143.onnx,outputs\candidates\current_6352_53_noop_node_prune\task143_overrides_NoopNodePruned.onnx,19441,19441,0,2144,2144,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task144,overrides,outputs\current_6352_53_stack\overrides\task144.onnx,outputs\candidates\current_6352_53_noop_node_prune\task144_overrides_NoopNodePruned.onnx,430,430,0,1321,1321,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task145,overrides,outputs\current_6352_53_stack\overrides\task145.onnx,outputs\candidates\current_6352_53_noop_node_prune\task145_overrides_NoopNodePruned.onnx,66157,66157,0,19428,19428,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task146,overrides,outputs\current_6352_53_stack\overrides\task146.onnx,outputs\candidates\current_6352_53_noop_node_prune\task146_overrides_NoopNodePruned.onnx,2256,2256,0,1894,1894,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task147,overrides,outputs\current_6352_53_stack\overrides\task147.onnx,outputs\candidates\current_6352_53_noop_node_prune\task147_overrides_NoopNodePruned.onnx,910,910,0,3825,3825,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task148,overrides,outputs\current_6352_53_stack\overrides\task148.onnx,outputs\candidates\current_6352_53_noop_node_prune\task148_overrides_NoopNodePruned.onnx,22029,22029,0,6750,6750,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task149,overrides,outputs\current_6352_53_stack\overrides\task149.onnx,outputs\candidates\current_6352_53_noop_node_prune\task149_overrides_NoopNodePruned.onnx,235,235,0,859,859,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task150,overrides,outputs\current_6352_53_stack\overrides\task150.onnx,outputs\candidates\current_6352_53_noop_node_prune\task150_overrides_NoopNodePruned.onnx,704,704,0,618,618,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task151,overrides,outputs\current_6352_53_stack\overrides\task151.onnx,outputs\candidates\current_6352_53_noop_node_prune\task151_overrides_NoopNodePruned.onnx,910,910,0,3880,3880,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task152,overrides,outputs\current_6352_53_stack\overrides\task152.onnx,outputs\candidates\current_6352_53_noop_node_prune\task152_overrides_NoopNodePruned.onnx,1521,1521,0,703,703,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task153,overrides,outputs\current_6352_53_stack\overrides\task153.onnx,outputs\candidates\current_6352_53_noop_node_prune\task153_overrides_NoopNodePruned.onnx,20583,20583,0,8924,8924,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task154,overrides,outputs\current_6352_53_stack\overrides\task154.onnx,outputs\candidates\current_6352_53_noop_node_prune\task154_overrides_NoopNodePruned.onnx,30542,30542,0,4963,4963,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task155,overrides,outputs\current_6352_53_stack\overrides\task155.onnx,outputs\candidates\current_6352_53_noop_node_prune\task155_overrides_NoopNodePruned.onnx,704,704,0,618,618,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task156,overrides,outputs\current_6352_53_stack\overrides\task156.onnx,outputs\candidates\current_6352_53_noop_node_prune\task156_overrides_NoopNodePruned.onnx,23303,23303,0,26646,26646,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task157,overrides,outputs\current_6352_53_stack\overrides\task157.onnx,outputs\candidates\current_6352_53_noop_node_prune\task157_overrides_NoopNodePruned.onnx,74528,74528,0,182274,182274,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task158,overrides,outputs\current_6352_53_stack\overrides\task158.onnx,outputs\candidates\current_6352_53_noop_node_prune\task158_overrides_NoopNodePruned.onnx,189716,189716,0,21848,21848,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task159,overrides,outputs\current_6352_53_stack\overrides\task159.onnx,outputs\candidates\current_6352_53_noop_node_prune\task159_overrides_NoopNodePruned.onnx,89321,89321,0,12822,12822,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task160,overrides,outputs\current_6352_53_stack\overrides\task160.onnx,outputs\candidates\current_6352_53_noop_node_prune\task160_overrides_NoopNodePruned.onnx,4585,4585,0,2171,2171,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task161,overrides,outputs\current_6352_53_stack\overrides\task161.onnx,outputs\candidates\current_6352_53_noop_node_prune\task161_overrides_NoopNodePruned.onnx,30632,30632,0,2998,2998,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
task162,overrides,outputs\current_6352_53_stack\overrides\task162.onnx,outputs\candidates\current_6352_53_noop_node_prune\task162_overrides_NoopNodePruned.onnx,63291,63291,0,2268,2268,0,,,,,,False,,,,,,,,False,False,False,not_run,,,False,no exact no-op nodes found
