task_id,valid,model_path,estimated_cost,file_size_bytes,failure_reason,selected_for_zip
task105,True,outputs\hybrid_6275_current_min_cost_onnx\task105.onnx,606,8053,,True
task106,True,outputs\hybrid_6275_current_min_cost_onnx\task106.onnx,746,2939,,True
task107,True,outputs\hybrid_6275_current_min_cost_onnx\task107.onnx,42039,31191,,True
task108,True,outputs\hybrid_6275_current_min_cost_onnx\task108.onnx,9000,7454,,True
task109,True,outputs\hybrid_6275_current_min_cost_onnx\task109.onnx,2280,5257,,True
task110,True,outputs\hybrid_6275_current_min_cost_onnx\task110.onnx,2945,20525,,True
task111,True,outputs\hybrid_6275_current_min_cost_onnx\task111.onnx,225,1499,,True
task112,True,outputs\hybrid_6275_current_min_cost_onnx\task112.onnx,564,3987,,True
task113,True,outputs\hybrid_6275_current_min_cost_onnx\task113.onnx,270,499,,True
task114,True,outputs\hybrid_6275_current_min_cost_onnx\task114.onnx,924,4671,,True
task115,True,outputs\hybrid_6275_current_min_cost_onnx\task115.onnx,423,3952,,True
task116,True,outputs\hybrid_6275_current_min_cost_onnx\task116.onnx,270,479,,True
task117,True,outputs\hybrid_6275_current_min_cost_onnx\task117.onnx,1187,7592,,True
task118,True,outputs\hybrid_6275_current_min_cost_onnx\task118.onnx,522,4432,,True
task119,True,outputs\hybrid_6275_current_min_cost_onnx\task119.onnx,612,13672,,True
task120,False,outputs\hybrid_6275_current_min_cost_onnx\task120.onnx,4550,3836,nonzero_padding_cells: case=0,False
task121,True,outputs\hybrid_6275_current_min_cost_onnx\task121.onnx,366,3339,,True
task122,False,outputs\hybrid_6275_current_min_cost_onnx\task122.onnx,12550,10236,nonzero_padding_cells: case=0,False
task123,True,outputs\hybrid_6275_current_min_cost_onnx\task123.onnx,8472,9379,,True
task124,True,outputs\hybrid_6275_current_min_cost_onnx\task124.onnx,3087,2840,,True
task125,True,outputs\hybrid_6275_current_min_cost_onnx\task125.onnx,639,3012,,True
task126,True,outputs\hybrid_6275_current_min_cost_onnx\task126.onnx,347,2765,,True
task127,True,outputs\hybrid_6275_current_min_cost_onnx\task127.onnx,4500,3772,,True
task128,True,outputs\hybrid_6275_current_min_cost_onnx\task128.onnx,744,2394,,True
task129,True,outputs\hybrid_6275_current_min_cost_onnx\task129.onnx,255,785,,True
task130,True,outputs\hybrid_6275_current_min_cost_onnx\task130.onnx,358,1164,,True
task131,True,outputs\hybrid_6275_current_min_cost_onnx\task131.onnx,3135,7860,,True
task132,True,outputs\hybrid_6275_current_min_cost_onnx\task132.onnx,366,2585,,True
task133,True,outputs\hybrid_6275_current_min_cost_onnx\task133.onnx,1869,14130,,True
task134,True,outputs\hybrid_6275_current_min_cost_onnx\task134.onnx,486,4599,,True
task135,True,outputs\hybrid_6275_current_min_cost_onnx\task135.onnx,0,251,,True
task136,True,outputs\hybrid_6275_current_min_cost_onnx\task136.onnx,576,2827,,True
task137,True,outputs\hybrid_6275_current_min_cost_onnx\task137.onnx,248,2835,,True
task138,True,outputs\hybrid_6275_current_min_cost_onnx\task138.onnx,461,8806,,True
task139,True,outputs\hybrid_6275_current_min_cost_onnx\task139.onnx,988,3865,,True
task140,True,outputs\hybrid_6275_current_min_cost_onnx\task140.onnx,72,394,,True
task141,True,outputs\hybrid_6275_current_min_cost_onnx\task141.onnx,409,2345,,True
task142,True,outputs\hybrid_6275_current_min_cost_onnx\task142.onnx,9000,7454,,True
task143,True,outputs\hybrid_6275_current_min_cost_onnx\task143.onnx,441,2144,,True
task144,True,outputs\hybrid_6275_current_min_cost_onnx\task144.onnx,306,1321,,True
task145,True,outputs\hybrid_6275_current_min_cost_onnx\task145.onnx,2979,19982,,True
task146,True,outputs\hybrid_6275_current_min_cost_onnx\task146.onnx,203,1894,,True
task147,False,outputs\hybrid_6275_current_min_cost_onnx\task147.onnx,4550,3825,nonzero_padding_cells: case=0,False
task148,True,outputs\hybrid_6275_current_min_cost_onnx\task148.onnx,1221,6750,,True
task149,True,outputs\hybrid_6275_current_min_cost_onnx\task149.onnx,232,1404,,True
task150,True,outputs\hybrid_6275_current_min_cost_onnx\task150.onnx,196,618,,True
task151,True,outputs\hybrid_6275_current_min_cost_onnx\task151.onnx,525,2352,,True
task152,True,outputs\hybrid_6275_current_min_cost_onnx\task152.onnx,9000,7454,,True
task153,True,outputs\hybrid_6275_current_min_cost_onnx\task153.onnx,1149,11725,,True
task154,True,outputs\hybrid_6275_current_min_cost_onnx\task154.onnx,3318,6366,,True
task155,True,outputs\hybrid_6275_current_min_cost_onnx\task155.onnx,196,618,,True
task156,True,outputs\hybrid_6275_current_min_cost_onnx\task156.onnx,2979,7856,,True
task157,True,outputs\hybrid_6275_current_min_cost_onnx\task157.onnx,1887,151146,,True
task158,True,outputs\hybrid_6275_current_min_cost_onnx\task158.onnx,2147,33661,,True
task159,True,outputs\hybrid_6275_current_min_cost_onnx\task159.onnx,12549,12822,,True
task160,True,outputs\hybrid_6275_current_min_cost_onnx\task160.onnx,363,2171,,True
task161,True,outputs\hybrid_6275_current_min_cost_onnx\task161.onnx,240,4323,,True
task162,True,outputs\hybrid_6275_current_min_cost_onnx\task162.onnx,183,2268,,True
task163,True,outputs\hybrid_6275_current_min_cost_onnx\task163.onnx,6681,11364,,True
task164,True,outputs\hybrid_6275_current_min_cost_onnx\task164.onnx,270,479,,True
task165,True,outputs\hybrid_6275_current_min_cost_onnx\task165.onnx,3162,4910,,True
task166,True,outputs\hybrid_6275_current_min_cost_onnx\task166.onnx,267,1318,,True
task167,True,outputs\hybrid_6275_current_min_cost_onnx\task167.onnx,1020,1673,,True
task168,True,outputs\hybrid_6275_current_min_cost_onnx\task168.onnx,675,4620,,True
task169,True,outputs\hybrid_6275_current_min_cost_onnx\task169.onnx,2133,20785,,True
task170,True,outputs\hybrid_6275_current_min_cost_onnx\task170.onnx,1425,50577,,True
task171,False,outputs\hybrid_6275_current_min_cost_onnx\task171.onnx,4550,3825,nonzero_padding_cells: case=0,False
task172,True,outputs\hybrid_6275_current_min_cost_onnx\task172.onnx,270,479,,True
task173,True,outputs\hybrid_6275_current_min_cost_onnx\task173.onnx,751,10108,,True
task174,True,outputs\hybrid_6275_current_min_cost_onnx\task174.onnx,614,61839,,True
task175,True,outputs\hybrid_6275_current_min_cost_onnx\task175.onnx,13677,12317,,True
task176,True,outputs\hybrid_6275_current_min_cost_onnx\task176.onnx,504,1126,,True
task177,True,outputs\hybrid_6275_current_min_cost_onnx\task177.onnx,912,3189,,True
task178,True,outputs\hybrid_6275_current_min_cost_onnx\task178.onnx,755,6317,,True
task179,True,outputs\hybrid_6275_current_min_cost_onnx\task179.onnx,0,170,,True
task180,False,outputs\hybrid_6275_current_min_cost_onnx\task180.onnx,2838,2525,nonzero_padding_cells: case=0,False
task181,True,outputs\hybrid_6275_current_min_cost_onnx\task181.onnx,672,3083,,True
task182,True,outputs\hybrid_6275_current_min_cost_onnx\task182.onnx,2930,70465,,True
task183,True,outputs\hybrid_6275_current_min_cost_onnx\task183.onnx,200,4662,,True
task184,False,outputs\hybrid_6275_current_min_cost_onnx\task184.onnx,,,evaluation_subprocess_failed: returncode=3221225477 ,False
task185,True,outputs\hybrid_6275_current_min_cost_onnx\task185.onnx,595,18881,,True
task186,True,outputs\hybrid_6275_current_min_cost_onnx\task186.onnx,192,924,,True
task187,True,outputs\hybrid_6275_current_min_cost_onnx\task187.onnx,1894,9705,,True
task188,True,outputs\hybrid_6275_current_min_cost_onnx\task188.onnx,312,3259,,True
task189,True,outputs\hybrid_6275_current_min_cost_onnx\task189.onnx,1449,10578,,True
task190,True,outputs\hybrid_6275_current_min_cost_onnx\task190.onnx,1538,8781,,True
task191,True,outputs\hybrid_6275_current_min_cost_onnx\task191.onnx,773,132233,,True
task192,True,outputs\hybrid_6275_current_min_cost_onnx\task192.onnx,327,2511,,True
task193,True,outputs\hybrid_6275_current_min_cost_onnx\task193.onnx,327,1925,,True
task194,True,outputs\hybrid_6275_current_min_cost_onnx\task194.onnx,9000,7454,,True
task195,True,outputs\hybrid_6275_current_min_cost_onnx\task195.onnx,4073,5381,,True
task196,True,outputs\hybrid_6275_current_min_cost_onnx\task196.onnx,342,3491,,True
task197,True,outputs\hybrid_6275_current_min_cost_onnx\task197.onnx,66,1223,,True
task198,True,outputs\hybrid_6275_current_min_cost_onnx\task198.onnx,2799,6979,,True
task199,True,outputs\hybrid_6275_current_min_cost_onnx\task199.onnx,378,2948,,True
task200,True,outputs\hybrid_6275_current_min_cost_onnx\task200.onnx,326,3848,,True
task201,True,outputs\hybrid_6275_current_min_cost_onnx\task201.onnx,1374,9668,,True
task202,True,outputs\hybrid_6275_current_min_cost_onnx\task202.onnx,50,3582,,True
task203,True,outputs\hybrid_6275_current_min_cost_onnx\task203.onnx,484,2814,,True
task204,True,outputs\hybrid_6275_current_min_cost_onnx\task204.onnx,3202,5801,,True
task205,True,outputs\hybrid_6275_current_min_cost_onnx\task205.onnx,1114,48510,,True
task206,True,outputs\hybrid_6275_current_min_cost_onnx\task206.onnx,362,4022,,True
task207,True,outputs\hybrid_6275_current_min_cost_onnx\task207.onnx,303,1979,,True
task208,True,outputs\hybrid_6275_current_min_cost_onnx\task208.onnx,1806,15747,,True
task209,True,outputs\hybrid_6275_current_min_cost_onnx\task209.onnx,875,12354,,True
task210,True,outputs\hybrid_6275_current_min_cost_onnx\task210.onnx,270,479,,True
task211,True,outputs\hybrid_6275_current_min_cost_onnx\task211.onnx,9000,7454,,True
task212,True,outputs\hybrid_6275_current_min_cost_onnx\task212.onnx,618,5951,,True
task213,True,outputs\hybrid_6275_current_min_cost_onnx\task213.onnx,660,25091,,True
task214,True,outputs\hybrid_6275_current_min_cost_onnx\task214.onnx,9000,7454,,True
task215,True,outputs\hybrid_6275_current_min_cost_onnx\task215.onnx,356,1729,,True
task216,True,outputs\hybrid_6275_current_min_cost_onnx\task216.onnx,888,11027,,True
task217,True,outputs\hybrid_6275_current_min_cost_onnx\task217.onnx,203,1350,,True
task218,True,outputs\hybrid_6275_current_min_cost_onnx\task218.onnx,328,9594,,True
task219,True,outputs\hybrid_6275_current_min_cost_onnx\task219.onnx,745,28326,,True
