task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,ref6275_valid,ref6275_estimated_cost,ref6275_file_size_bytes,ref6275_failure_reason,ref6348_base_valid,ref6348_base_estimated_cost,ref6348_base_file_size_bytes,ref6348_base_failure_reason,ref6348_overrides_valid,ref6348_overrides_estimated_cost,ref6348_overrides_file_size_bytes,ref6348_overrides_failure_reason,best_6348_source,best_6348_estimated_cost,cost_delta_6275_minus_best_6348
task075,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task075.onnx,419,1534,True,507,6812,,True,509,7736,,True,419,1534,,ref6348_overrides,419,88
task076,ref6275,outputs\reference_6275_flat\task076.onnx,1461,24619,True,1461,24619,,True,1147810,948872,,True,12122,54163,,ref6348_overrides,12122,-10661
task077,ref6275,outputs\reference_6275_flat\task077.onnx,921,3638,True,921,3638,,True,6972,9860,,True,3569,25987,,ref6348_overrides,3569,-2648
task078,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task078.onnx,252,1974,True,252,1974,,True,276,2588,,True,252,1974,,ref6348_overrides,252,0
task079,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task079.onnx,1301,2695,True,1301,2695,,True,1301,2695,,True,1301,2695,,ref6348_overrides,1301,0
task080,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task080.onnx,1198,10133,True,1198,10180,,True,9335,18484,,True,1198,10133,,ref6348_overrides,1198,0
task081,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task081.onnx,627,3749,True,627,3749,,True,627,3749,,True,627,3749,,ref6348_overrides,627,0
task082,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task082.onnx,392,1638,True,392,1638,,True,443,2282,,True,392,1638,,ref6348_overrides,392,0
task083,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task083.onnx,9000,7454,True,9000,7454,,True,9000,7454,,True,9000,7454,,ref6348_overrides,9000,0
task084,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task084.onnx,499,2820,True,499,2820,,True,1390970,1127799,,True,499,2820,,ref6348_overrides,499,0
task085,ref6348_base,outputs\reference_6348_56_stack\base_submission\task085.onnx,558,2547,True,558,2547,,True,558,2547,,True,12308,17531,,ref6348_base,558,0
task086,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task086.onnx,689,3120,True,717,3099,,True,1153,4727,,True,689,3120,,ref6348_overrides,689,28
task087,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task087.onnx,72,394,True,72,394,,True,144,474,,True,72,394,,ref6348_overrides,72,0
task088,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task088.onnx,668,4006,True,1008,4099,,True,10824,14980,,True,668,4006,,ref6348_overrides,668,340
task089,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task089.onnx,876,10554,True,876,11171,,True,879,17792,,True,876,10554,,ref6348_overrides,876,0
task090,ref6348_base,outputs\reference_6348_56_stack\base_submission\task090.onnx,438,19660,True,438,19660,,True,438,19660,,True,1818,3784,,ref6348_base,438,0
task091,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task091.onnx,702,3325,True,702,4393,,True,963,4627,,True,702,3325,,ref6348_overrides,702,0
task092,ref6348_base,outputs\reference_6348_56_stack\base_submission\task092.onnx,90,4299,True,163,3438,,True,90,4299,,True,122,2577,,ref6348_base,90,73
task093,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task093.onnx,354,6234,True,354,6234,,True,667,5415,,True,354,6234,,ref6348_overrides,354,0
task094,ref6275,outputs\reference_6275_flat\task094.onnx,552,2932,True,552,2932,,True,802,3767,,True,552,3478,,ref6348_overrides,552,0
task095,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task095.onnx,4500,3797,True,4550,3950,,True,4550,3950,,True,4500,3797,,ref6348_overrides,4500,50
task096,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task096.onnx,0,12075,True,3998,42567,,True,8858,64252,,True,0,12075,,ref6348_overrides,0,3998
task097,ref6275,outputs\reference_6275_flat\task097.onnx,27,904,True,27,904,,True,1938,2494,,True,626,1475,,ref6348_overrides,626,-599
task098,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task098.onnx,4550,3836,True,4550,3836,,True,4550,3836,,True,4550,3836,,ref6348_overrides,4550,0
task099,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task099.onnx,17550,14222,True,24550,19839,,True,24550,19839,,True,17550,14222,,ref6348_overrides,17550,7000
task100,ref6348_overrides,outputs\reference_6348_56_stack\overrides\task100.onnx,335,4954,True,335,4954,,True,335,4954,,True,335,4954,,ref6348_overrides,335,0
task101,ref6275,outputs\reference_6275_flat\task101.onnx,594,19538,True,594,19538,,True,14360,39301,,True,25701,35484,,ref6348_base,14360,-13766
