task_id,selected_source,selected_model_path,selected_estimated_cost,selected_file_size_bytes,archive_valid,archive_estimated_cost,archive_file_size_bytes,archive_failure_reason,current_valid,current_estimated_cost,current_file_size_bytes,current_failure_reason
task093,archive,outputs\hybrid_6275_current_safe_onnx\task093.onnx,354,6234,True,354,6234,,True,667,5415,
task094,archive,outputs\hybrid_6275_current_safe_onnx\task094.onnx,552,2932,True,552,2932,,True,802,3767,
task095,current,outputs\hybrid_6275_current_safe_onnx\task095.onnx,4550,3950,True,4550,3950,,True,4550,3950,
task096,archive,outputs\hybrid_6275_current_safe_onnx\task096.onnx,3998,42567,True,3998,42567,,True,8858,64252,
task097,archive,outputs\hybrid_6275_current_safe_onnx\task097.onnx,27,904,True,27,904,,True,1938,2494,
task098,current,outputs\hybrid_6275_current_safe_onnx\task098.onnx,4550,3836,True,4550,3836,,True,4550,3836,
task099,current,outputs\hybrid_6275_current_safe_onnx\task099.onnx,24550,19839,True,24550,19839,,True,24550,19839,
task100,current,outputs\hybrid_6275_current_safe_onnx\task100.onnx,335,4954,True,335,4954,,True,335,4954,
task101,archive,outputs\hybrid_6275_current_safe_onnx\task101.onnx,594,19538,True,594,19538,,True,14360,39301,
task102,current,outputs\hybrid_6275_current_safe_onnx\task102.onnx,1137,22167,True,1809,6482,,True,1137,22167,
task103,archive,outputs\hybrid_6275_current_safe_onnx\task103.onnx,180,979,True,180,979,,True,425,1669,
task104,archive,outputs\hybrid_6275_current_safe_onnx\task104.onnx,3066,3505,True,3066,3505,,True,5414,6350,
task105,archive,outputs\hybrid_6275_current_safe_onnx\task105.onnx,606,8053,True,606,8053,,True,36364,35291,
task106,current,outputs\hybrid_6275_current_safe_onnx\task106.onnx,746,2939,True,746,2939,,True,746,2939,
task107,current,outputs\hybrid_6275_current_safe_onnx\task107.onnx,42039,31191,True,42039,31191,,True,42039,31191,
task108,current,outputs\hybrid_6275_current_safe_onnx\task108.onnx,9000,7454,True,9000,7454,,True,9000,7454,
task109,archive,outputs\hybrid_6275_current_safe_onnx\task109.onnx,2280,5257,True,2280,5257,,True,2541,5491,
task110,archive,outputs\hybrid_6275_current_safe_onnx\task110.onnx,2945,20525,True,2945,20525,,True,4623,21494,
task111,archive,outputs\hybrid_6275_current_safe_onnx\task111.onnx,225,1499,True,225,1499,,True,248,1457,
task112,current,outputs\hybrid_6275_current_safe_onnx\task112.onnx,564,3987,True,564,3987,,True,564,3987,
task113,current,outputs\hybrid_6275_current_safe_onnx\task113.onnx,270,499,True,270,499,,True,270,499,
task114,archive,outputs\hybrid_6275_current_safe_onnx\task114.onnx,924,4671,True,924,4671,,True,934,4719,
task115,archive,outputs\hybrid_6275_current_safe_onnx\task115.onnx,423,3952,True,423,3952,,True,429,5069,
task116,current,outputs\hybrid_6275_current_safe_onnx\task116.onnx,270,479,True,270,479,,True,270,479,
task117,archive,outputs\hybrid_6275_current_safe_onnx\task117.onnx,1187,7592,True,1187,7592,,True,2113,8103,
task118,archive,outputs\hybrid_6275_current_safe_onnx\task118.onnx,522,4432,True,522,4432,,True,9433,160396,
task119,archive,outputs\hybrid_6275_current_safe_onnx\task119.onnx,612,13672,True,612,13672,,True,5856,25915,
task120,current,outputs\hybrid_6275_current_safe_onnx\task120.onnx,4550,3836,True,4550,3836,,True,4550,3836,
task121,current,outputs\hybrid_6275_current_safe_onnx\task121.onnx,366,3339,True,366,3339,,True,366,3339,
task122,current,outputs\hybrid_6275_current_safe_onnx\task122.onnx,12550,10236,True,12550,10236,,True,12550,10236,
task123,archive,outputs\hybrid_6275_current_safe_onnx\task123.onnx,8472,9379,True,8472,9379,,True,8497,8997,
task124,archive,outputs\hybrid_6275_current_safe_onnx\task124.onnx,3087,2840,True,3087,2840,,True,3113,4339,
task125,archive,outputs\hybrid_6275_current_safe_onnx\task125.onnx,639,3012,True,639,3012,,True,644,3032,
task126,current,outputs\hybrid_6275_current_safe_onnx\task126.onnx,347,2765,True,347,3088,,True,347,2765,
task127,current,outputs\hybrid_6275_current_safe_onnx\task127.onnx,4500,3772,True,4500,3772,,True,4500,3772,
task128,archive,outputs\hybrid_6275_current_safe_onnx\task128.onnx,744,2394,True,744,2394,,True,906,3365,
task129,archive,outputs\hybrid_6275_current_safe_onnx\task129.onnx,255,785,True,255,785,,True,258,1196,
task130,archive,outputs\hybrid_6275_current_safe_onnx\task130.onnx,358,1164,True,358,1164,,True,608,1293,
task131,archive,outputs\hybrid_6275_current_safe_onnx\task131.onnx,3135,7860,True,3135,7860,,True,4943,12030,
task132,archive,outputs\hybrid_6275_current_safe_onnx\task132.onnx,366,2585,True,366,2585,,True,436,3762,
task133,archive,outputs\hybrid_6275_current_safe_onnx\task133.onnx,1869,14130,True,1869,14130,,True,1406822,783434,
task134,archive,outputs\hybrid_6275_current_safe_onnx\task134.onnx,486,4599,True,486,4599,,True,600,7220,
task135,archive,outputs\hybrid_6275_current_safe_onnx\task135.onnx,0,251,True,0,251,,True,54,381,
task136,archive,outputs\hybrid_6275_current_safe_onnx\task136.onnx,576,2827,True,576,2827,,True,2229,4980,
task137,archive,outputs\hybrid_6275_current_safe_onnx\task137.onnx,248,2835,True,248,2835,,True,2028,3864,
task138,archive,outputs\hybrid_6275_current_safe_onnx\task138.onnx,461,8806,True,461,8806,,True,789,11562,
task139,current,outputs\hybrid_6275_current_safe_onnx\task139.onnx,988,3865,True,988,3865,,True,988,3865,
