task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,shrunk_initializers,bytes_saved,failure_reason
task147,outputs\onnx\task147.onnx,outputs\candidates\int64_to_int32_shrink\task147_Int64ToInt32Shrink.onnx,4550,4550,0,3825,3825,0,0,0,no shrinkable initializers found
task148,outputs\onnx\task148.onnx,outputs\candidates\int64_to_int32_shrink\task148_Int64ToInt32Shrink.onnx,1873,1873,0,10573,10573,0,0,0,no shrinkable initializers found
task149,outputs\onnx\task149.onnx,outputs\candidates\int64_to_int32_shrink\task149_Int64ToInt32Shrink.onnx,232,232,0,1404,1404,0,0,0,no shrinkable initializers found
task150,outputs\onnx\task150.onnx,outputs\candidates\int64_to_int32_shrink\task150_Int64ToInt32Shrink.onnx,302,302,0,1320,1320,0,0,0,no shrinkable initializers found
task151,outputs\onnx\task151.onnx,outputs\candidates\int64_to_int32_shrink\task151_Int64ToInt32Shrink.onnx,525,525,0,2352,2352,0,0,0,no shrinkable initializers found
task152,outputs\onnx\task152.onnx,outputs\candidates\int64_to_int32_shrink\task152_Int64ToInt32Shrink.onnx,9000,9000,0,7454,7454,0,0,0,no shrinkable initializers found
task153,outputs\onnx\task153.onnx,outputs\candidates\int64_to_int32_shrink\task153_Int64ToInt32Shrink.onnx,3320,3320,0,799256,799256,0,0,0,no shrinkable initializers found
task154,outputs\onnx\task154.onnx,outputs\candidates\int64_to_int32_shrink\task154_Int64ToInt32Shrink.onnx,4966,4966,0,7650,7650,0,0,0,no shrinkable initializers found
task155,outputs\onnx\task155.onnx,outputs\candidates\int64_to_int32_shrink\task155_Int64ToInt32Shrink.onnx,311,311,0,1347,1347,0,0,0,no shrinkable initializers found
task156,outputs\onnx\task156.onnx,outputs\candidates\int64_to_int32_shrink\task156_Int64ToInt32Shrink.onnx,2979,2979,0,7856,7856,0,0,0,no shrinkable initializers found
