task_id,ref6275_valid_structural,ref6275_params,ref6275_memory_bytes,ref6275_estimated_cost,ref6275_estimated_score,ref6275_file_size_bytes,ref6275_file_size_ok,ref6275_node_count,ref6275_initializer_count,ref6275_forbidden_ops,ref6275_unused_initializer_count,ref6275_unused_initializer_params,ref6275_duplicate_group_count,ref6275_duplicate_saved_params,ref6275_sha256,current_valid_structural,current_params,current_memory_bytes,current_estimated_cost,current_estimated_score,current_file_size_bytes,current_file_size_ok,current_node_count,current_initializer_count,current_forbidden_ops,current_unused_initializer_count,current_unused_initializer_params,current_duplicate_group_count,current_duplicate_saved_params,current_sha256,same_sha256,cost_delta_ref_minus_current,score_delta_ref_minus_current,file_delta_ref_minus_current,cheaper_source_by_cost
task048,True,66,330,396,19.01858578874552,4058,True,52,15,,0,0,0,0,9423c02033058a1188fae998353c04f6fbf4e48361dbee5461896ddd5d49ac28,True,66,396,462,18.86443510891826,5695,True,49,15,,0,0,0,0,d4c7088b8aa6bf4b2b226ce0dacecda44faf247049312f97e6d3e0d87574fa0a,False,-66,0.15415067982725716,-1637,ref6275
task049,True,150,792,942,18.151994725423638,3516,True,29,12,,0,0,0,0,d742f5db9437894536afe2db2b87d8b3899117c92daf69927ab3854301d03698,True,150,792,942,18.151994725423638,3516,True,29,12,,0,0,0,0,a37e8cb1f6134fded24f6bb205efbdfe9c4b4f96f2b9195d9db3108653eadb0c,False,0,0.0,0,tie
task050,True,250,425,675,18.48528730912747,2006,True,21,9,,0,0,0,0,a43a64896f788cffb0e83ee188a7680ae80f27578b1bb607a36e32c9a39258ab,True,250,425,675,18.48528730912747,2540,True,19,9,,0,0,0,0,817ceed6eed8f8639a03c7d8fc0b41ca1fc3ca5ef6ff87cb970dba5a510cd4be,False,0,0.0,-534,tie
task051,True,70,542,612,18.583267717487672,3352,True,58,12,,0,0,0,0,b4e5ecaa156709adf438d5b25e6b077b7392df042f42a51ba7afbccc484d665b,True,78,580,658,18.510795068674682,3330,True,57,12,,0,0,0,0,6d23777046fe0a20f552f5c1f775b930bffe40f96abfa367ab645c3464184f33,False,-46,0.07247264881299031,22,ref6275
task052,True,43,188,231,19.557582289478205,986,True,11,12,,0,0,0,0,195c01dfdaae84b9a7a585295b8d44c1c3741ab522a7e9d472753ad121d8014d,True,43,240,283,19.35455310235676,1277,True,10,12,,0,0,0,0,a506cc379f43f613ec0879da1737edf134628e2d759c6d40c886ba16e97ef73b,False,-52,0.20302918712144447,-291,ref6275
task053,True,30,240,270,19.401578041001624,175,True,1,1,,0,0,0,0,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,True,30,240,270,19.401578041001624,175,True,1,1,,0,0,0,0,11d2a84ba10862f37e4dae8a206314fd4226f70b6f751eed23e52ba32ebde353,True,0,0.0,0,tie
task054,True,161,900,1061,18.03303286138602,5551,True,107,16,,0,0,0,0,da0ea9c4a4e7de7d20e8867f669de546f57874c7e6fa83c850aad07683855ecc,True,161,900,1061,18.03303286138602,9728,True,118,16,,0,0,0,0,a2e77f3a92ad3273e4de5710e47222a0da5f4948d3fcf9860f0675f88f35a8c6,False,0,0.0,-4177,tie
task055,True,994,2168,3162,16.941039982230585,13886,True,166,37,,0,0,0,0,af92ce2ca4857d58e51cfa086182fd59313bd341f4f07fa157fa0f684d675f92,True,994,4096,5090,16.46496689045543,21458,True,164,37,,0,0,0,0,194c76a7c1f255cb8d516d9ba1ac658ddc6f99f862956432b21d038cfd5f4c1c,False,-1928,0.4760730917751559,-7572,ref6275
task056,True,77,154,231,19.557582289478205,815,True,9,3,,0,0,0,0,9d687659145a785dd2d111cccd06fc2b802bcaaae0c2926b7d39a51406e1254b,True,100,492,592,18.616493365115993,1515,True,7,10,,0,0,0,0,2306a2e7b1dd27af9e0ec17099ee8ed0568f6696623537f2599419319f7dd8cd,False,-361,0.9410889243622123,-700,ref6275
task057,True,20,153,173,19.84670840550222,1616,True,16,6,,0,0,0,0,c1e43aa7b8f024cb83ec8144fb50cf67b6ffe8126f4e6abf15f467ecf685b4ba,True,11,88,99,20.40488014986541,1880,True,18,4,,0,0,0,0,fe71c735896585cb2e65fe6bfc6479a0d1ef8b1f8f2c7b7a1fe27b318ca72304,False,74,-0.5581717443631895,-264,current
